     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.127582e+01   1.661238e+00  -3.098538e+05   2.397114e+04  -8.116122e+05   0.000000e+00   0.000000e+00   0.000000e+00   8.690790e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   7.521170e-02   1.127774e+01   1.596309e+00  -3.098538e+05   2.397114e+04  -8.116122e+05   0.000000e+00   0.000000e+00   0.000000e+00   8.690790e+05   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   5.042339e-02   1.127966e+01   1.531380e+00  -3.098538e+05   2.397114e+04  -8.116122e+05   0.000000e+00   0.000000e+00   0.000000e+00   8.690790e+05   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   2.563509e-02   1.128158e+01   1.466451e+00  -3.098538e+05   2.397114e+04  -8.116122e+05   0.000000e+00   0.000000e+00   0.000000e+00   8.690790e+05   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   8.467872e-04   1.128349e+01   1.401522e+00  -3.098538e+05   2.397114e+04  -8.116122e+05   0.000000e+00   0.000000e+00   0.000000e+00   8.690790e+05   0.000000e+00   0.000000e+00   0.000000e+00
