       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   0.00000000e+00   0.00000000e+00  -3.57527264e-06  -4.27243527e-18   6.76700191e-18   0.00000000e+00
  8.00000000e-08   0.00000000e+00   0.00000000e+00  -3.02104798e-06  -3.61017062e-18   5.71798814e-18  -4.13467011e-40
  1.60000000e-07   0.00000000e+00   0.00000000e+00  -2.46484960e-06  -2.94552892e-18   4.66525032e-18  -2.75221353e-40
  2.40000000e-07   0.00000000e+00   0.00000000e+00  -1.27225592e-08  -1.52036182e-20   2.40801487e-20  -7.47634394e-45
  3.20000000e-07   0.00000000e+00   0.00000000e+00   8.78208653e-08   1.04947163e-19  -1.66219583e-19  -3.48511220e-43
  4.00000000e-07   0.00000000e+00   0.00000000e+00  -7.08347095e-07  -8.46485295e-19   1.34069648e-18  -2.27299411e-41
  4.80000000e-07   0.00000000e+00   0.00000000e+00   4.91689149e-13   5.87575307e-25  -9.30625893e-25  -1.09515878e-53
  5.60000000e-07   0.00000000e+00   0.00000000e+00   7.65166446e-14   9.14384445e-26  -1.44823962e-25  -2.65626778e-55
  6.40000000e-07   0.00000000e+00   0.00000000e+00   4.41394480e-13   5.27472485e-25  -8.35432576e-25  -8.82670139e-54
  7.20000000e-07   0.00000000e+00   0.00000000e+00   1.73348329e-13   2.07153641e-25  -3.28098441e-25  -1.36188631e-54
  8.00000000e-07   0.00000000e+00   0.00000000e+00   3.93453793e-13   4.70182703e-25  -7.44694668e-25  -7.01535907e-54
  8.80000000e-07   0.00000000e+00   0.00000000e+00  -2.13846126e-13  -2.55549067e-25   4.04749103e-25  -2.07042378e-54
  9.60000000e-07   0.00000000e+00   0.00000000e+00   7.70686809e-15   9.20981355e-27  -1.45868808e-26  -2.71586226e-57
  1.04000000e-06   0.00000000e+00   0.00000000e+00   7.53630166e-13   9.00598431e-25  -1.42640477e-24  -2.57314109e-53
  1.12000000e-06   0.00000000e+00   0.00000000e+00   1.72405741e-13   2.06027236e-25  -3.26314394e-25  -1.34746930e-54
