     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.160162e+01   2.098035e+01  -4.596979e+04   1.580766e+05   2.622358e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.627521e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   9.632236e-02   1.161427e+01   2.119014e+01  -4.597101e+04   1.580762e+05   2.622358e+06  -1.276959e+07  -3.713593e+06  -4.584100e-15   2.627521e+06   2.940966e-27   0.000000e+00   0.000000e+00
       16000   1.599900e-07   9.264463e-02   1.162691e+01   2.139993e+01  -4.597227e+04   1.580759e+05   2.622358e+06  -1.401345e+07  -4.075448e+06  -1.619431e-15   2.627521e+06   3.541880e-27   0.000000e+00   0.000000e+00
       24000   2.399900e-07   8.896679e-02   1.163956e+01   2.160972e+01  -4.597359e+04   1.580755e+05   2.622358e+06  -2.044207e+07  -5.945233e+06   1.628750e-15   2.627521e+06   7.538501e-27   0.000000e+00   0.000000e+00
       32000   3.199900e-07   8.528885e-02   1.165220e+01   2.181951e+01  -4.597494e+04   1.580751e+05   2.622358e+06  -2.002165e+07  -5.823144e+06  -2.632260e-15   2.627521e+06   7.231652e-27   0.000000e+00   0.000000e+00
       40000   3.999900e-07   8.161080e-02   1.166485e+01   2.202930e+01  -4.597631e+04   1.580747e+05   2.622358e+06  -1.960123e+07  -5.701053e+06   1.028147e-14   2.627521e+06   6.931185e-27   0.000000e+00   0.000000e+00
       48000   4.799900e-07   7.793263e-02   1.167750e+01   2.223908e+01  -4.597771e+04   1.580743e+05   2.622358e+06  -1.918082e+07  -5.578961e+06  -4.064546e-15   2.627521e+06   6.637099e-27   0.000000e+00   0.000000e+00
       56000   5.599900e-07   7.425436e-02   1.169014e+01   2.244887e+01  -4.597914e+04   1.580739e+05   2.622358e+06  -1.876042e+07  -5.456867e+06   5.116674e-15   2.627521e+06   6.349393e-27   0.000000e+00   0.000000e+00
       64000   6.399900e-07   7.057597e-02   1.170279e+01   2.265866e+01  -4.598053e+04   1.580735e+05   2.622358e+06  -1.551664e+07  -4.513493e+06  -7.419270e-15   2.627521e+06   4.342680e-27   0.000000e+00   0.000000e+00
       72000   7.199900e-07   6.689747e-02   1.171543e+01   2.286845e+01  -4.598201e+04   1.580730e+05   2.622358e+06  -1.676458e+07  -4.876664e+06   6.216611e-15   2.627521e+06   5.069366e-27   0.000000e+00   0.000000e+00
       80000   7.999900e-07   6.321885e-02   1.172808e+01   2.307824e+01  -4.598353e+04   1.580726e+05   2.622358e+06  -1.801252e+07  -5.239867e+06   4.254123e-15   2.627521e+06   5.852252e-27   0.000000e+00   0.000000e+00
       88000   8.799900e-07   5.954010e-02   1.174072e+01   2.328803e+01  -4.598509e+04   1.580721e+05   2.622358e+06  -1.926047e+07  -5.603104e+06  -7.499797e-16   2.627521e+06   6.691342e-27   0.000000e+00   0.000000e+00
       96000   9.599900e-07   5.586123e-02   1.175337e+01   2.349782e+01  -4.598668e+04   1.580717e+05   2.622358e+06  -2.050844e+07  -5.966376e+06   3.171418e-15   2.627521e+06   7.586639e-27   0.000000e+00   0.000000e+00
      104000   1.039990e-06   5.218223e-02   1.176602e+01   2.370761e+01  -4.598832e+04   1.580712e+05   2.622358e+06  -2.214923e+07  -6.443968e+06   4.920883e-16   2.627521e+06   8.850612e-27   0.000000e+00   0.000000e+00
      112000   1.119990e-06   4.850310e-02   1.177866e+01   2.391739e+01  -4.598999e+04   1.580707e+05   2.622358e+06  -2.172756e+07  -6.321540e+06   6.170267e-15   2.627521e+06   8.516899e-27   0.000000e+00   0.000000e+00
      120000   1.199990e-06   4.482383e-02   1.179131e+01   2.412718e+01  -4.599168e+04   1.580702e+05   2.622358e+06  -2.130591e+07  -6.199110e+06   1.201643e-15   2.627521e+06   8.189606e-27   0.000000e+00   0.000000e+00
      128000   1.279990e-06   4.114443e-02   1.180395e+01   2.433697e+01  -4.599335e+04   1.580697e+05   2.622358e+06  -1.953521e+07  -5.684135e+06   3.242555e-15   2.627521e+06   6.883813e-27   0.000000e+00   0.000000e+00
      136000   1.359990e-06   3.746489e-02   1.181660e+01   2.454676e+01  -4.599510e+04   1.580692e+05   2.622358e+06  -2.078723e+07  -6.048684e+06   9.467775e-15   2.627521e+06   7.794559e-27   0.000000e+00   0.000000e+00
      144000   1.439990e-06   3.378521e-02   1.182924e+01   2.475655e+01  -4.599688e+04   1.580687e+05   2.622358e+06  -2.203927e+07  -6.413272e+06  -1.279347e-14   2.627521e+06   8.761885e-27   0.000000e+00   0.000000e+00
      152000   1.519990e-06   3.010539e-02   1.184189e+01   2.496634e+01  -4.599870e+04   1.580682e+05   2.622358e+06  -2.329132e+07  -6.777900e+06  -4.415405e-15   2.627521e+06   9.785794e-27   0.000000e+00   0.000000e+00
      160000   1.599990e-06   2.642542e-02   1.185453e+01   2.517613e+01  -4.600056e+04   1.580676e+05   2.622358e+06  -2.454338e+07  -7.142569e+06  -1.210141e-15   2.627521e+06   1.086629e-26   0.000000e+00   0.000000e+00
      168000   1.679990e-06   2.274530e-02   1.186718e+01   2.538591e+01  -4.600245e+04   1.580671e+05   2.622358e+06  -2.579545e+07  -7.507280e+06   7.391815e-15   2.627521e+06   1.200337e-26   0.000000e+00   0.000000e+00
      176000   1.759990e-06   1.906502e-02   1.187983e+01   2.559570e+01  -4.600439e+04   1.580665e+05   2.622358e+06  -2.704753e+07  -7.872034e+06  -5.812521e-15   2.627521e+06   1.319705e-26   0.000000e+00   0.000000e+00
      184000   1.839990e-06   1.538460e-02   1.189247e+01   2.580549e+01  -4.600635e+04   1.580659e+05   2.622358e+06  -2.386809e+07  -6.946999e+06  -1.149484e-14   2.627521e+06   1.027823e-26   0.000000e+00   0.000000e+00
      192000   1.919990e-06   1.170401e-02   1.190512e+01   2.601528e+01  -4.600826e+04   1.580654e+05   2.622358e+06  -2.358154e+07  -6.863905e+06   2.435434e-15   2.627521e+06   1.003155e-26   0.000000e+00   0.000000e+00
      200000   1.999990e-06   8.023272e-03   1.191776e+01   2.622507e+01  -4.601027e+04   1.580648e+05   2.622358e+06  -2.483767e+07  -7.229869e+06  -4.254790e-15   2.627521e+06   1.112885e-26   0.000000e+00   0.000000e+00
      208000   2.079990e-06   4.342368e-03   1.193041e+01   2.643486e+01  -4.601232e+04   1.580642e+05   2.622358e+06  -2.609381e+07  -7.595879e+06  -7.413243e-15   2.627521e+06   1.228311e-26   0.000000e+00   0.000000e+00
      216000   2.159990e-06   6.612986e-04   1.194305e+01   2.664465e+01  -4.601440e+04   1.580636e+05   2.622358e+06  -2.734996e+07  -7.961935e+06  -3.025519e-15   2.627521e+06   1.349433e-26   0.000000e+00   0.000000e+00
