     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.093324e+01   1.070953e+00  -2.824287e+05  -1.588077e+04  -2.361961e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   7.740571e-02   1.093197e+01   8.819961e-01  -2.824287e+05  -1.588077e+04  -2.361961e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   5.481141e-02   1.093070e+01   6.930392e-01  -2.824287e+05  -1.588077e+04  -2.361961e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   3.221712e-02   1.092943e+01   5.040823e-01  -2.824287e+05  -1.588077e+04  -2.361961e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   9.622829e-03   1.092816e+01   3.151254e-01  -2.824287e+05  -1.588077e+04  -2.361961e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
