     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   9.196362e+00   2.080450e+01  -1.663195e+05  -3.813887e+05   2.073212e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.114552e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   8.669454e-02   9.165851e+00   2.097036e+01  -1.663167e+05  -3.813899e+05   2.073212e+06   3.985698e+07  -1.738085e+07  -2.997247e-14   2.114552e+06   2.036549e-26   0.000000e+00   0.000000e+00
       16000   1.599900e-07   7.338932e-02   9.135340e+00   2.113621e+01  -1.663137e+05  -3.813912e+05   2.073212e+06   4.591266e+07  -2.002119e+07   3.627058e-15   2.114552e+06   2.702375e-26   0.000000e+00   0.000000e+00
       24000   2.399900e-07   6.008435e-02   9.104828e+00   2.130207e+01  -1.663105e+05  -3.813926e+05   2.073212e+06   5.196837e+07  -2.266139e+07   6.942928e-15   2.114552e+06   3.462212e-26   0.000000e+00   0.000000e+00
       32000   3.199900e-07   4.677966e-02   9.074317e+00   2.146793e+01  -1.663068e+05  -3.813942e+05   2.073212e+06   4.490715e+07  -1.958174e+07  -1.443394e-14   2.114552e+06   2.585265e-26   0.000000e+00   0.000000e+00
       40000   3.999900e-07   3.347526e-02   9.043805e+00   2.163379e+01  -1.663030e+05  -3.813959e+05   2.073212e+06   5.094148e+07  -2.221240e+07  -6.176842e-15   2.114552e+06   3.326682e-26   0.000000e+00   0.000000e+00
       48000   4.799900e-07   2.017118e-02   9.013293e+00   2.179964e+01  -1.662989e+05  -3.813976e+05   2.073212e+06   5.462914e+07  -2.381968e+07   5.424656e-14   2.114552e+06   3.825352e-26   0.000000e+00   0.000000e+00
       56000   5.599900e-07   6.867449e-03   8.982782e+00   2.196550e+01  -1.662946e+05  -3.813995e+05   2.073212e+06   4.991931e+07  -2.176539e+07  -2.019210e-14   2.114552e+06   3.194458e-26   0.000000e+00   0.000000e+00
