     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.523978e+01   2.005650e+01   1.161830e+04   7.772075e+05   1.660177e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.009292e-01   1.530195e+01   2.018932e+01   1.161039e+04   7.772078e+05   1.660177e+06  -5.475206e+07   8.179180e+05   4.280747e-01   1.833133e+06   2.428600e-26   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.018578e-01   1.536413e+01   2.032213e+01   1.160297e+04   7.772079e+05   1.660177e+06  -5.707913e+07   8.521366e+05  -2.913126e-15   1.833133e+06   2.639363e-26   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.027859e-01   1.542631e+01   2.045495e+01   1.159912e+04   7.772080e+05   1.660177e+06  -5.943124e+07   8.869571e+05  -2.369063e-15   1.833133e+06   2.861309e-26   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.037136e-01   1.548848e+01   2.058776e+01   1.159157e+04   7.772081e+05   1.660177e+06  -1.664633e+08   2.482697e+06  -1.672465e-14   1.833133e+06   2.243100e-25   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.046406e-01   1.555066e+01   2.072057e+01   1.158377e+04   7.772082e+05   1.660177e+06  -6.413553e+07   9.558976e+05  -1.984155e-15   1.833133e+06   3.332080e-26   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.055672e-01   1.561284e+01   2.085339e+01   1.157938e+04   7.772083e+05   1.660177e+06  -6.651828e+07   9.910347e+05  -3.519866e-15   1.833133e+06   3.584202e-26   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.064933e-01   1.567501e+01   2.098620e+01   1.157224e+04   7.772084e+05   1.660177e+06  -1.563080e+08   2.327348e+06  -8.463780e-15   1.833133e+06   1.977734e-25   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.074188e-01   1.573719e+01   2.111902e+01   1.156531e+04   7.772085e+05   1.660177e+06  -7.126576e+07   1.060475e+06  -1.581190e-15   1.833133e+06   4.113943e-26   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.083439e-01   1.579937e+01   2.125183e+01   1.155992e+04   7.772086e+05   1.660177e+06  -1.494430e+08   2.222762e+06  -1.062157e-14   1.833133e+06   1.807806e-25   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.092685e-01   1.586154e+01   2.138465e+01   1.155310e+04   7.772087e+05   1.660177e+06  -1.460309e+08   2.170729e+06  -8.309647e-15   1.833133e+06   1.726186e-25   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.101925e-01   1.592372e+01   2.151746e+01   1.154747e+04   7.772088e+05   1.660177e+06  -7.846841e+07   1.165854e+06  -3.923642e-15   1.833133e+06   4.987333e-26   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.111161e-01   1.598590e+01   2.165027e+01   1.154216e+04   7.772088e+05   1.660177e+06  -1.390950e+08   2.065670e+06  -1.217525e-14   1.833133e+06   1.566087e-25   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.120392e-01   1.604807e+01   2.178309e+01   1.153416e+04   7.772090e+05   1.660177e+06  -1.356334e+08   2.012865e+06  -1.310099e-14   1.833133e+06   1.489097e-25   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.129617e-01   1.611025e+01   2.191590e+01   1.153028e+04   7.772090e+05   1.660177e+06  -8.574212e+07   1.272027e+06  -7.101367e-15   1.833133e+06   5.954595e-26   0.000000e+00   0.000000e+00
      120000   1.199990e-06   1.138840e-01   1.617243e+01   2.204872e+01   1.152501e+04   7.772091e+05   1.660177e+06  -1.286277e+08   1.907384e+06  -1.290957e-14   1.833133e+06   1.339222e-25   0.000000e+00   0.000000e+00
      128000   1.279990e-06   1.148056e-01   1.623460e+01   2.218153e+01   1.151617e+04   7.772092e+05   1.660177e+06  -1.251172e+08   1.853904e+06  -3.358602e-15   1.833133e+06   1.267110e-25   0.000000e+00   0.000000e+00
      136000   1.359990e-06   1.157267e-01   1.629678e+01   2.231435e+01   1.151237e+04   7.772093e+05   1.660177e+06  -1.215824e+08   1.800933e+06  -1.259507e-14   1.833133e+06   1.196514e-25   0.000000e+00   0.000000e+00
      144000   1.439990e-06   1.166475e-01   1.635896e+01   2.244716e+01   1.150697e+04   7.772094e+05   1.660177e+06  -1.180427e+08   1.747680e+06  -1.005279e-14   1.833133e+06   1.127849e-25   0.000000e+00   0.000000e+00
      152000   1.519990e-06   1.175677e-01   1.642114e+01   2.257997e+01   1.149935e+04   7.772095e+05   1.660177e+06  -1.144843e+08   1.693875e+06  -9.540005e-15   1.833133e+06   1.060866e-25   0.000000e+00   0.000000e+00
      160000   1.599990e-06   1.184874e-01   1.648331e+01   2.271279e+01   1.149541e+04   7.772095e+05   1.660177e+06  -1.109291e+08   1.640709e+06  -1.773530e-14   1.833133e+06   9.959905e-26   0.000000e+00   0.000000e+00
