     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   9.367713e+00   1.878175e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.571479e-01   9.352332e+00   1.885508e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   2.142958e-01   9.336951e+00   1.892841e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   2.714437e-01   9.321569e+00   1.900173e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   3.285917e-01   9.306188e+00   1.907506e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   3.857396e-01   9.290807e+00   1.914839e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   4.428875e-01   9.275426e+00   1.922172e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   5.000354e-01   9.260044e+00   1.929505e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   5.571833e-01   9.244663e+00   1.936838e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   6.143312e-01   9.229282e+00   1.944170e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       80000   7.999900e-07   6.714792e-01   9.213901e+00   1.951503e+01   7.143489e+05  -1.922654e+05   9.166038e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       88000   8.799900e-07   7.286271e-01   9.198519e+00   1.958836e+01   7.143487e+05  -1.922650e+05   9.166041e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.177889e+06   0.000000e+00   0.000000e+00   0.000000e+00
       96000   9.599900e-07   7.857749e-01   9.183138e+00   1.966169e+01   7.143461e+05  -1.922610e+05   9.166070e+05  -6.384614e+07   9.781755e+07   7.027520e+07   1.177889e+06   6.209004e-26   0.000000e+00   0.000000e+00
      104000   1.039990e-06   8.429224e-01   9.167758e+00   1.973502e+01   7.143410e+05  -1.922532e+05   9.166126e+05  -9.849631e+07   1.505251e+08   1.083324e+08   1.177889e+06   1.473430e-25   0.000000e+00   0.000000e+00
      112000   1.119990e-06   9.000693e-01   9.152378e+00   1.980835e+01   7.143312e+05  -1.922383e+05   9.166233e+05  -8.575624e+07   1.307023e+08   9.424193e+07   1.177889e+06   1.113694e-25   0.000000e+00   0.000000e+00
      120000   1.199990e-06   9.572156e-01   9.136999e+00   1.988168e+01   7.143268e+05  -1.922315e+05   9.166282e+05  -2.638489e+07   4.007210e+07   2.896546e+07   1.177889e+06   1.050281e-26   0.000000e+00   0.000000e+00
      128000   1.279990e-06   1.014362e+00   9.121621e+00   1.995501e+01   7.143232e+05  -1.922261e+05   9.166321e+05  -1.407646e+07   2.131918e+07   1.544049e+07   1.177889e+06   2.981398e-27   0.000000e+00   0.000000e+00
      136000   1.359990e-06   1.071507e+00   9.106243e+00   2.002834e+01   7.143235e+05  -1.922266e+05   9.166318e+05  -6.527697e+00  -8.465345e+00   3.311715e+00   1.177889e+06   4.185324e-40   0.000000e+00   0.000000e+00
      144000   1.439990e-06   1.128653e+00   9.090865e+00   2.010167e+01   7.143235e+05  -1.922266e+05   9.166318e+05  -6.712123e+00  -1.506858e+01   2.070675e+00   1.177889e+06   9.236533e-40   0.000000e+00   0.000000e+00
      152000   1.519990e-06   1.185799e+00   9.075487e+00   2.017500e+01   7.143235e+05  -1.922266e+05   9.166318e+05  -9.321603e+00  -1.956635e+01   3.160994e+00   1.177889e+06   1.603131e-39   0.000000e+00   0.000000e+00
      160000   1.599990e-06   1.242945e+00   9.060109e+00   2.024833e+01   7.143235e+05  -1.922266e+05   9.166318e+05  -7.640588e+00  -2.839281e+01   7.040786e-21   1.177889e+06   2.888812e-39   0.000000e+00   0.000000e+00
      168000   1.679990e-06   1.300091e+00   9.044730e+00   2.032166e+01   7.143235e+05  -1.922266e+05   9.166318e+05  -5.821390e+00  -2.163258e+01  -1.439609e-20   1.177889e+06   1.677279e-39   0.000000e+00   0.000000e+00
      176000   1.759990e-06   1.357237e+00   9.029352e+00   2.039499e+01   7.143235e+05  -1.922266e+05   9.166318e+05  -4.547872e+00  -1.690012e+01  -2.296794e-21   1.177889e+06   1.023705e-39   0.000000e+00   0.000000e+00
      184000   1.839990e-06   1.414383e+00   9.013974e+00   2.046832e+01   7.143235e+05  -1.922266e+05   9.166318e+05  -6.102932e+00  -2.267880e+01  -5.854589e-22   1.177889e+06   1.843027e-39   0.000000e+00   0.000000e+00
