     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   2.975672e+00   5.997641e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.477157e-01   2.857995e+00   5.924281e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.954315e-01   2.740317e+00   5.850921e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   2.431472e-01   2.622640e+00   5.777561e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   2.908629e-01   2.504963e+00   5.704201e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   3.385787e-01   2.387286e+00   5.630842e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   3.862944e-01   2.269608e+00   5.557482e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   4.340101e-01   2.151931e+00   5.484122e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   4.817259e-01   2.034254e+00   5.410762e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   5.294416e-01   1.916577e+00   5.337402e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       80000   7.999900e-07   5.771574e-01   1.798899e+00   5.264042e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       88000   8.799900e-07   6.248731e-01   1.681222e+00   5.190682e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
       96000   9.599900e-07   6.725888e-01   1.563545e+00   5.117322e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
      104000   1.039990e-06   7.203046e-01   1.445868e+00   5.043962e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
      112000   1.119990e-06   7.680203e-01   1.328190e+00   4.970602e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
      120000   1.199990e-06   8.157360e-01   1.210513e+00   4.897243e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
      128000   1.279990e-06   8.634518e-01   1.092836e+00   4.823883e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
      136000   1.359990e-06   9.111675e-01   9.751587e-01   4.750523e+00   5.964467e+05  -1.470966e+06  -9.169987e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
