       time             b_x              b_y              b_z              F_x              F_y              F_z
  3.76000000e-06   0.00000000e+00   0.00000000e+00   5.54907890e-07  -2.49386742e-18  -4.56448848e-20  -5.83002540e-41
  3.84000000e-06   0.00000000e+00   0.00000000e+00  -1.35654995e-06   6.09660780e-18   1.11580160e-19  -3.48518549e-40
  3.92000000e-06   0.00000000e+00   0.00000000e+00   2.14232301e-07  -9.62802875e-19  -1.76261902e-20  -8.68314257e-42
  4.00000000e-06   0.00000000e+00   0.00000000e+00   1.24409075e-06  -5.59119325e-18  -1.02347407e-19  -2.93121268e-40
  4.08000000e-06   0.00000000e+00   0.00000000e+00  -1.91056193e-06   8.58644776e-18   1.57209460e-19  -6.91353528e-40
  4.16000000e-06   0.00000000e+00   0.00000000e+00   9.01950688e-07  -4.05354684e-18  -7.42215235e-20  -1.54054909e-40
  4.24000000e-06   0.00000000e+00   0.00000000e+00  -1.48317122e-06   6.66566824e-18   1.22048026e-19  -4.16624771e-40
  4.32000000e-06   0.00000000e+00   0.00000000e+00   5.71014834e-07  -2.56625477e-18  -4.69960670e-20  -6.17353498e-41
  4.40000000e-06   0.00000000e+00   0.00000000e+00  -1.05842713e-06   4.75678308e-18   8.71098453e-20  -2.12156505e-40
  4.48000000e-06   0.00000000e+00   0.00000000e+00   2.38203493e-07  -1.07053404e-18  -1.96080457e-20  -1.07366174e-41
  4.56000000e-06   0.00000000e+00   0.00000000e+00   1.24356462e-06  -5.58882766e-18  -1.02361494e-19  -2.92874812e-40
  4.64000000e-06   1.42659086e-07   1.34099595e-07  -1.45977925e-06   5.37626076e-18   1.38003353e-18   6.52176952e-19
  4.72000000e-06   4.32820561e-15  -7.75112852e-15  -1.62763585e-07   7.31491591e-19   1.33987270e-20   1.88137338e-26
  4.80000000e-06   4.87732906e-07   4.62371192e-07   1.41225895e-06  -1.04303192e-17   4.19106860e-18   2.23003050e-18
  4.88000000e-06   0.00000000e+00   0.00000000e+00  -2.13330743e-06   9.58749574e-18   1.75641698e-19  -8.61968451e-40
  4.96000000e-06   0.00000000e+00   0.00000000e+00  -7.73594924e-07   3.47668504e-18   6.36925751e-20  -1.13325427e-40
  5.04000000e-06   0.00000000e+00   0.00000000e+00  -1.71750621e-06   7.71880449e-18   1.41420470e-19  -5.58688501e-40
  5.12000000e-06   0.00000000e+00   0.00000000e+00  -3.07367355e-07   1.38136820e-18   2.53105401e-20  -1.78922224e-41
  5.20000000e-06   0.00000000e+00   0.00000000e+00  -1.93861573e-08   8.71251302e-20   1.59645987e-21  -7.14112258e-44
  5.28000000e-06   0.00000000e+00   0.00000000e+00  -2.10600175e-07   9.46477809e-19   1.73429083e-20  -8.39902352e-42
  5.36000000e-06   0.00000000e+00   0.00000000e+00  -4.44867246e-07   1.99931917e-18   3.66368109e-20  -3.74831615e-41
  5.44000000e-06   0.00000000e+00   0.00000000e+00   1.34313297e-07  -6.03629849e-19  -1.10614674e-20  -3.41568408e-42
  5.52000000e-06   0.00000000e+00   0.00000000e+00  -1.89134431e-07   8.50006588e-19   1.55766471e-20  -6.77813992e-42
  5.60000000e-06   0.00000000e+00   0.00000000e+00   4.91271990e-08  -2.20787099e-19  -4.04614473e-21  -4.56616293e-43
  5.68000000e-06   0.00000000e+00   0.00000000e+00  -2.52799531e-07   1.13612981e-18   2.08207442e-20  -1.21027954e-41
  5.76000000e-06   0.00000000e+00   0.00000000e+00  -7.04793253e-08   3.16747660e-19   5.80516401e-21  -9.42500440e-43
  5.84000000e-06   0.00000000e+00   0.00000000e+00   6.99889896e-07  -3.14544002e-18  -5.76449359e-20  -9.27729808e-41
  5.92000000e-06   0.00000000e+00   0.00000000e+00  -2.24681831e-06   1.00976332e-17   1.85115068e-19  -9.56216018e-40
