     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.167837e+01   2.097647e+01  -2.356945e+04   1.613736e+05   2.373243e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   9.811439e-02   1.169128e+01   2.116633e+01  -2.357071e+04   1.613734e+05   2.373243e+06  -1.443320e+07  -2.108158e+06  -1.894486e-15   2.378840e+06   2.900073e-27   0.000000e+00   0.000000e+00
       16000   1.599900e-07   9.622868e-02   1.170419e+01   2.135619e+01  -2.357215e+04   1.613732e+05   2.373243e+06  -2.010000e+07  -2.936053e+06   2.055271e-15   2.378840e+06   5.625463e-27   0.000000e+00   0.000000e+00
       24000   2.399900e-07   9.434286e-02   1.171710e+01   2.154605e+01  -2.357341e+04   1.613730e+05   2.373243e+06  -2.014938e+07  -2.943427e+06  -3.269179e-15   2.378840e+06   5.653148e-27   0.000000e+00   0.000000e+00
       32000   3.199900e-07   9.245693e-02   1.173001e+01   2.173591e+01  -2.357470e+04   1.613728e+05   2.373243e+06  -2.019877e+07  -2.950806e+06  -8.693176e-16   2.378840e+06   5.680906e-27   0.000000e+00   0.000000e+00
       40000   3.999900e-07   9.057091e-02   1.174292e+01   2.192577e+01  -2.357601e+04   1.613727e+05   2.373243e+06  -2.024816e+07  -2.958189e+06  -5.735092e-15   2.378840e+06   5.708736e-27   0.000000e+00   0.000000e+00
       48000   4.799900e-07   8.868477e-02   1.175583e+01   2.211563e+01  -2.357733e+04   1.613725e+05   2.373243e+06  -2.029756e+07  -2.965576e+06   1.163317e-15   2.378840e+06   5.736638e-27   0.000000e+00   0.000000e+00
       56000   5.599900e-07   8.679853e-02   1.176874e+01   2.230549e+01  -2.357868e+04   1.613723e+05   2.373243e+06  -2.034697e+07  -2.972968e+06   2.968450e-15   2.378840e+06   5.764612e-27   0.000000e+00   0.000000e+00
       64000   6.399900e-07   8.491217e-02   1.178165e+01   2.249535e+01  -2.358005e+04   1.613721e+05   2.373243e+06  -1.714784e+07  -2.505681e+06  -1.710824e-15   2.378840e+06   4.093713e-27   0.000000e+00   0.000000e+00
       72000   7.199900e-07   8.302571e-02   1.179456e+01   2.268521e+01  -2.358145e+04   1.613719e+05   2.373243e+06  -1.754238e+07  -2.563487e+06  -9.684109e-16   2.378840e+06   4.284278e-27   0.000000e+00   0.000000e+00
       80000   7.999900e-07   8.113914e-02   1.180747e+01   2.287507e+01  -2.358299e+04   1.613716e+05   2.373243e+06  -2.047927e+07  -2.992857e+06   1.362686e-15   2.378840e+06   5.839866e-27   0.000000e+00   0.000000e+00
       88000   8.799900e-07   7.925244e-02   1.182038e+01   2.306493e+01  -2.358439e+04   1.613714e+05   2.373243e+06  -2.052884e+07  -3.000285e+06  -3.104780e-16   2.378840e+06   5.868186e-27   0.000000e+00   0.000000e+00
       96000   9.599900e-07   7.736564e-02   1.183329e+01   2.325479e+01  -2.358582e+04   1.613712e+05   2.373243e+06  -2.057842e+07  -3.007717e+06  -1.627107e-15   2.378840e+06   5.896579e-27   0.000000e+00   0.000000e+00
      104000   1.039990e-06   7.547872e-02   1.184620e+01   2.344464e+01  -2.358727e+04   1.613710e+05   2.373243e+06  -2.062801e+07  -3.015153e+06  -2.631491e-16   2.378840e+06   5.925045e-27   0.000000e+00   0.000000e+00
      112000   1.119990e-06   7.359168e-02   1.185911e+01   2.363450e+01  -2.358874e+04   1.613708e+05   2.373243e+06  -2.067760e+07  -3.022595e+06  -4.488428e-15   2.378840e+06   5.953585e-27   0.000000e+00   0.000000e+00
      120000   1.199990e-06   7.170452e-02   1.187202e+01   2.382436e+01  -2.359023e+04   1.613706e+05   2.373243e+06  -2.072721e+07  -3.030041e+06   1.111625e-16   2.378840e+06   5.982198e-27   0.000000e+00   0.000000e+00
      128000   1.279990e-06   6.981724e-02   1.188493e+01   2.401422e+01  -2.359174e+04   1.613704e+05   2.373243e+06  -2.077682e+07  -3.037492e+06  -7.029578e-16   2.378840e+06   6.010884e-27   0.000000e+00   0.000000e+00
      136000   1.359990e-06   6.792984e-02   1.189784e+01   2.420408e+01  -2.359327e+04   1.613701e+05   2.373243e+06  -2.082643e+07  -3.044948e+06   9.987450e-16   2.378840e+06   6.039644e-27   0.000000e+00   0.000000e+00
      144000   1.439990e-06   6.604232e-02   1.191075e+01   2.439394e+01  -2.359488e+04   1.613699e+05   2.373243e+06  -2.086128e+07  -3.050256e+06   3.755794e-15   2.378840e+06   6.059893e-27   0.000000e+00   0.000000e+00
      152000   1.519990e-06   6.415467e-02   1.192366e+01   2.458380e+01  -2.359643e+04   1.613697e+05   2.373243e+06  -2.091105e+07  -3.057738e+06   2.921443e-15   2.378840e+06   6.088858e-27   0.000000e+00   0.000000e+00
      160000   1.599990e-06   6.226689e-02   1.193657e+01   2.477366e+01  -2.359800e+04   1.613694e+05   2.373243e+06  -2.096083e+07  -3.065225e+06   4.161353e-15   2.378840e+06   6.117898e-27   0.000000e+00   0.000000e+00
      168000   1.679990e-06   6.037899e-02   1.194948e+01   2.496352e+01  -2.359959e+04   1.613692e+05   2.373243e+06  -2.101062e+07  -3.072717e+06  -2.282019e-15   2.378840e+06   6.147012e-27   0.000000e+00   0.000000e+00
      176000   1.759990e-06   5.849096e-02   1.196238e+01   2.515338e+01  -2.360120e+04   1.613690e+05   2.373243e+06  -2.106041e+07  -3.080214e+06  -1.830171e-15   2.378840e+06   6.176200e-27   0.000000e+00   0.000000e+00
      184000   1.839990e-06   5.660280e-02   1.197529e+01   2.534324e+01  -2.360283e+04   1.613687e+05   2.373243e+06  -2.111022e+07  -3.087716e+06   3.939675e-15   2.378840e+06   6.205463e-27   0.000000e+00   0.000000e+00
      192000   1.919990e-06   5.471451e-02   1.198820e+01   2.553310e+01  -2.360448e+04   1.613685e+05   2.373243e+06  -2.116003e+07  -3.095224e+06  -1.655907e-15   2.378840e+06   6.234800e-27   0.000000e+00   0.000000e+00
      200000   1.999990e-06   5.282609e-02   1.200111e+01   2.572296e+01  -2.360613e+04   1.613683e+05   2.373243e+06  -1.768907e+07  -2.587687e+06  -3.106445e-15   2.378840e+06   4.356426e-27   0.000000e+00   0.000000e+00
      208000   2.079990e-06   5.093753e-02   1.201402e+01   2.591282e+01  -2.360782e+04   1.613680e+05   2.373243e+06  -1.808768e+07  -2.646192e+06  -2.058552e-15   2.378840e+06   4.554996e-27   0.000000e+00   0.000000e+00
      216000   2.159990e-06   4.904884e-02   1.202693e+01   2.610268e+01  -2.360953e+04   1.613678e+05   2.373243e+06  -1.848630e+07  -2.704710e+06  -4.627351e-15   2.378840e+06   4.758003e-27   0.000000e+00   0.000000e+00
      224000   2.239990e-06   4.716001e-02   1.203984e+01   2.629254e+01  -2.361125e+04   1.613675e+05   2.373243e+06  -2.134605e+07  -3.123349e+06  -1.096164e-15   2.378840e+06   6.344981e-27   0.000000e+00   0.000000e+00
      232000   2.319990e-06   4.527104e-02   1.205275e+01   2.648240e+01  -2.361298e+04   1.613672e+05   2.373243e+06  -2.139605e+07  -3.130898e+06   6.680346e-16   2.378840e+06   6.374754e-27   0.000000e+00   0.000000e+00
      240000   2.399990e-06   4.338194e-02   1.206566e+01   2.667225e+01  -2.361474e+04   1.613670e+05   2.373243e+06  -2.144605e+07  -3.138453e+06  -1.656904e-15   2.378840e+06   6.404603e-27   0.000000e+00   0.000000e+00
      248000   2.479990e-06   4.149269e-02   1.207857e+01   2.686211e+01  -2.361651e+04   1.613667e+05   2.373243e+06  -2.149606e+07  -3.146013e+06  -5.311150e-15   2.378840e+06   6.434527e-27   0.000000e+00   0.000000e+00
      256000   2.559990e-06   3.960330e-02   1.209148e+01   2.705197e+01  -2.361831e+04   1.613665e+05   2.373243e+06  -2.154608e+07  -3.153579e+06   2.017530e-15   2.378840e+06   6.464527e-27   0.000000e+00   0.000000e+00
      264000   2.639990e-06   3.771376e-02   1.210439e+01   2.724183e+01  -2.362007e+04   1.613662e+05   2.373243e+06  -2.085339e+07  -3.052428e+06  -1.741238e-17   2.378840e+06   6.054673e-27   0.000000e+00   0.000000e+00
      272000   2.719990e-06   3.582408e-02   1.211730e+01   2.743169e+01  -2.362191e+04   1.613659e+05   2.373243e+06  -2.125341e+07  -3.111226e+06   6.151445e-16   2.378840e+06   6.289214e-27   0.000000e+00   0.000000e+00
      280000   2.799990e-06   3.393425e-02   1.213021e+01   2.762155e+01  -2.362375e+04   1.613657e+05   2.373243e+06  -2.165344e+07  -3.170040e+06   1.990717e-15   2.378840e+06   6.528226e-27   0.000000e+00   0.000000e+00
      288000   2.879990e-06   3.204428e-02   1.214312e+01   2.781141e+01  -2.362562e+04   1.613654e+05   2.373243e+06  -2.205350e+07  -3.228868e+06  -3.870857e-15   2.378840e+06   6.771709e-27   0.000000e+00   0.000000e+00
      296000   2.959990e-06   3.015415e-02   1.215603e+01   2.800127e+01  -2.362750e+04   1.613651e+05   2.373243e+06  -2.245357e+07  -3.287710e+06   4.451769e-15   2.378840e+06   7.019665e-27   0.000000e+00   0.000000e+00
      304000   3.039990e-06   2.826388e-02   1.216893e+01   2.819113e+01  -2.362940e+04   1.613648e+05   2.373243e+06  -2.183454e+07  -3.197332e+06   1.603776e-15   2.378840e+06   6.638909e-27   0.000000e+00   0.000000e+00
      312000   3.119990e-06   2.637345e-02   1.218184e+01   2.838099e+01  -2.363132e+04   1.613646e+05   2.373243e+06  -2.188476e+07  -3.204952e+06   5.219477e-15   2.378840e+06   6.669507e-27   0.000000e+00   0.000000e+00
      320000   3.199990e-06   2.448287e-02   1.219475e+01   2.857085e+01  -2.363326e+04   1.613643e+05   2.373243e+06  -2.193499e+07  -3.212578e+06   1.274745e-15   2.378840e+06   6.700182e-27   0.000000e+00   0.000000e+00
      328000   3.279990e-06   2.259213e-02   1.220766e+01   2.876071e+01  -2.363517e+04   1.613640e+05   2.373243e+06  -2.403915e+07  -3.521042e+06   6.936530e-16   2.378840e+06   8.046217e-27   0.000000e+00   0.000000e+00
      336000   3.359990e-06   2.070123e-02   1.222057e+01   2.895057e+01  -2.363715e+04   1.613637e+05   2.373243e+06  -2.444059e+07  -3.580146e+06  -2.967676e-15   2.378840e+06   8.317230e-27   0.000000e+00   0.000000e+00
      344000   3.439990e-06   1.881018e-02   1.223348e+01   2.914043e+01  -2.363914e+04   1.613634e+05   2.373243e+06  -2.484204e+07  -3.639266e+06   8.068664e-16   2.378840e+06   8.592749e-27   0.000000e+00   0.000000e+00
      352000   3.519990e-06   1.691897e-02   1.224639e+01   2.933029e+01  -2.364114e+04   1.613631e+05   2.373243e+06  -2.524352e+07  -3.698402e+06   6.589477e-15   2.378840e+06   8.872776e-27   0.000000e+00   0.000000e+00
      360000   3.599990e-06   1.502760e-02   1.225930e+01   2.952015e+01  -2.364316e+04   1.613628e+05   2.373243e+06  -2.564503e+07  -3.757554e+06  -4.109190e-16   2.378840e+06   9.157310e-27   0.000000e+00   0.000000e+00
      368000   3.679990e-06   1.313605e-02   1.227221e+01   2.971001e+01  -2.364572e+04   1.613636e+05   2.373243e+06  -3.420726e+07   1.224725e+07  -1.173548e+06   2.378840e+06   1.799690e-26   0.000000e+00   0.000000e+00
      376000   3.759990e-06   1.124414e-02   1.228512e+01   2.989987e+01  -2.365337e+04   1.613743e+05   2.373242e+06  -9.888707e+07   1.440860e+08  -1.078305e+07   2.378840e+06   4.180622e-25   0.000000e+00   0.000000e+00
      384000   3.839990e-06   9.351968e-03   1.229803e+01   3.008972e+01  -2.364881e+04   1.613610e+05   2.373243e+06   9.303245e+07  -2.322157e+08   1.671581e+07   2.378840e+06   8.570414e-25   0.000000e+00   0.000000e+00
      392000   3.919990e-06   7.460017e-03   1.231093e+01   3.027958e+01  -2.365041e+04   1.613598e+05   2.373243e+06  -2.724621e+07  -3.993462e+06  -3.963553e-15   2.378840e+06   1.033669e-26   0.000000e+00   0.000000e+00
      400000   3.999990e-06   5.567899e-03   1.232384e+01   3.046944e+01  -2.365253e+04   1.613595e+05   2.373243e+06  -2.764905e+07  -4.052877e+06   1.123162e-15   2.378840e+06   1.064466e-26   0.000000e+00   0.000000e+00
      408000   4.079990e-06   3.675611e-03   1.233675e+01   3.065930e+01  -2.365466e+04   1.613592e+05   2.373243e+06  -2.805192e+07  -4.112309e+06  -2.561158e-16   2.378840e+06   1.095717e-26   0.000000e+00   0.000000e+00
      416000   4.159990e-06   1.783151e-03   1.234966e+01   3.084916e+01  -2.365681e+04   1.613588e+05   2.373243e+06  -2.845481e+07  -4.171759e+06  -8.865847e-15   2.378840e+06   1.127423e-26   0.000000e+00   0.000000e+00
