       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   0.00000000e+00   0.00000000e+00  -1.76311049e-07   9.88455174e-20   2.84949886e-19   0.00000000e+00
  8.00000000e-08   0.00000000e+00   0.00000000e+00   6.67202635e-07  -3.74048293e-19  -1.07831989e-18  -1.49276101e-41
  1.60000000e-07   0.00000000e+00   0.00000000e+00   1.51072066e-06  -8.46933308e-19  -2.44160058e-18  -7.65982141e-41
  2.40000000e-07   0.00000000e+00   0.00000000e+00   2.35424134e-06  -1.31981721e-18  -3.80488646e-18  -1.86062421e-40
  3.20000000e-07   0.00000000e+00   0.00000000e+00  -9.66129077e-08   5.41621027e-20   1.56144311e-19  -3.14244859e-43
  4.00000000e-07   0.00000000e+00   0.00000000e+00   1.78751877e-08  -1.00209851e-20  -2.88896108e-20  -1.05912626e-44
  4.80000000e-07   0.00000000e+00   0.00000000e+00   1.32363340e-07  -7.42039909e-20  -2.13923664e-19  -5.87374355e-43
  5.60000000e-07   0.00000000e+00   0.00000000e+00   8.36000377e-14  -4.68669287e-26  -1.35113122e-25  -2.34827837e-55
  6.40000000e-07   0.00000000e+00   0.00000000e+00   3.65505186e-14  -2.04905476e-26  -5.90723975e-26  -4.49125246e-56
  7.20000000e-07   0.00000000e+00   0.00000000e+00   1.82108410e-13  -1.02091603e-25  -2.94320868e-25  -1.11432802e-54
  8.00000000e-07   0.00000000e+00   0.00000000e+00   2.66828421e-13  -1.49586399e-25  -4.31244074e-25  -2.39046678e-54
  8.80000000e-07   0.00000000e+00   0.00000000e+00   2.26008276e-13  -1.26702261e-25  -3.65271172e-25  -1.71492047e-54
  9.60000000e-07   0.00000000e+00   0.00000000e+00   1.85188132e-13  -1.03818123e-25  -2.99298270e-25  -1.15129895e-54
  1.04000000e-06   0.00000000e+00   0.00000000e+00   4.25602764e-13  -2.38596715e-25  -6.87852776e-25  -6.08281753e-54
  1.12000000e-06   0.00000000e+00   0.00000000e+00   3.74041038e-13  -2.09690750e-25  -6.04519490e-25  -4.69815500e-54
  1.20000000e-06   0.00000000e+00   0.00000000e+00   3.22479311e-13  -1.80784786e-25  -5.21186205e-25  -3.49207219e-54
  1.28000000e-06   0.00000000e+00   0.00000000e+00   2.70917585e-13  -1.51878821e-25  -4.37852919e-25  -2.46456909e-54
  1.36000000e-06   0.00000000e+00   0.00000000e+00   1.52073411e-13  -8.52537144e-26  -2.45778757e-25  -7.75975536e-55
  1.44000000e-06   0.00000000e+00   0.00000000e+00   3.35291265e-13  -1.87967281e-25  -5.41892691e-25  -3.77287027e-54
  1.52000000e-06   0.00000000e+00   0.00000000e+00   5.51508198e-13  -3.09180427e-25  -8.91339241e-25  -1.02107288e-53
  1.60000000e-06   0.00000000e+00   0.00000000e+00   4.58069737e-13  -2.56797991e-25  -7.40325409e-25  -7.04859406e-54
  1.68000000e-06   0.00000000e+00   0.00000000e+00   3.81527800e-13  -2.13887896e-25  -6.16619483e-25  -4.89001448e-54
  1.76000000e-06   0.00000000e+00   0.00000000e+00   3.04985863e-13  -1.70977802e-25  -4.92913557e-25  -3.12496333e-54
  1.84000000e-06   0.00000000e+00   0.00000000e+00   1.84491730e-13  -1.03427714e-25  -2.98172755e-25  -1.14313962e-54
  1.92000000e-06   0.00000000e+00   0.00000000e+00   1.97329507e-13  -1.10624686e-25  -3.18920977e-25  -1.30776481e-54
  2.00000000e-06   0.00000000e+00   0.00000000e+00   2.10167284e-13  -1.17821659e-25  -3.39669199e-25  -1.48346024e-54
  2.08000000e-06   0.00000000e+00   0.00000000e+00   4.56132380e-13  -2.55711891e-25  -7.37194281e-25  -6.98571360e-54
  2.16000000e-06   0.00000000e+00   0.00000000e+00   3.59048551e-13  -2.01285828e-25  -5.80288859e-25  -4.32904171e-54
  2.24000000e-06   0.00000000e+00   0.00000000e+00   3.69159744e-13  -2.06954254e-25  -5.96630418e-25  -4.57631363e-54
  2.32000000e-06   0.00000000e+00   0.00000000e+00   4.83054028e-13  -2.70804408e-25  -7.80704643e-25  -7.83688858e-54
  2.40000000e-06   0.00000000e+00   0.00000000e+00   8.11823332e-13  -4.55115419e-25  -1.31205664e-24  -2.21329526e-53
  2.48000000e-06   0.00000000e+00   0.00000000e+00   8.91020911e-13  -4.99514291e-25  -1.44005457e-24  -2.66621298e-53
  2.56000000e-06   0.00000000e+00   0.00000000e+00   9.70218490e-13  -5.43913162e-25  -1.56805251e-24  -3.16126163e-53
  2.64000000e-06   0.00000000e+00   0.00000000e+00   3.78942140e-13  -2.12438352e-25  -6.12440578e-25  -4.82198156e-54
  2.72000000e-06   0.00000000e+00   0.00000000e+00   2.94244590e-13  -1.64956148e-25  -4.75553673e-25  -2.90721590e-54
  2.80000000e-06   0.00000000e+00   0.00000000e+00   2.09547040e-13  -1.17473944e-25  -3.38666769e-25  -1.47430806e-54
  2.88000000e-06   0.00000000e+00   0.00000000e+00   4.91338274e-14  -2.75448630e-26  -7.94093517e-26  -8.13167780e-56
  2.96000000e-06   0.00000000e+00   0.00000000e+00   1.51449700e-13  -8.49040562e-26  -2.44770724e-25  -7.69834274e-55
  3.04000000e-06   0.00000000e+00   0.00000000e+00   1.08562641e-13  -6.08611876e-26  -1.75457306e-25  -3.95464841e-55
  3.12000000e-06   0.00000000e+00   0.00000000e+00   3.18375068e-13  -1.78483910e-25  -5.14552989e-25  -3.40637508e-54
  3.20000000e-06   0.00000000e+00   0.00000000e+00   3.64846940e-13  -2.04536457e-25  -5.89660128e-25  -4.47302948e-54
  3.28000000e-06   0.00000000e+00   0.00000000e+00   4.11318812e-13  -2.30589004e-25  -6.64767268e-25  -5.68474718e-54
  3.36000000e-06   0.00000000e+00   0.00000000e+00   1.12919110e-12  -6.33034629e-25  -1.82498165e-24  -4.28150811e-53
  3.44000000e-06  -3.74834210e-14  -5.25035468e-14   7.54195946e-13   1.44799084e-25  -1.62414784e-24  -1.05868982e-25
  3.52000000e-06   2.32653025e-13   1.98610669e-13   5.35394290e-13  -2.44729739e-24   1.64988124e-24   4.51418938e-25
  3.60000000e-06   0.00000000e+00   0.00000000e+00   3.39811395e-13  -1.90501307e-25  -5.49198058e-25  -3.88114149e-54
  3.68000000e-06   0.00000000e+00   0.00000000e+00   2.14472443e-13  -1.20235169e-25  -3.46627131e-25  -1.54748961e-54
  3.76000000e-06   0.00000000e+00   0.00000000e+00   1.83796782e-13  -1.03038119e-25  -2.97049590e-25  -1.13679874e-54
  3.84000000e-06   0.00000000e+00   0.00000000e+00   1.53121121e-13  -8.58410696e-26  -2.47472049e-25  -7.89314850e-55
  3.92000000e-06   0.00000000e+00   0.00000000e+00   3.36291440e-13  -1.88527988e-25  -5.43509159e-25  -3.79858731e-54
  4.00000000e-06   0.00000000e+00   0.00000000e+00   3.85204306e-13  -2.15948979e-25  -6.22561397e-25  -4.98387638e-54
  4.08000000e-06   0.00000000e+00   0.00000000e+00   4.34117173e-13  -2.43369969e-25  -7.01613635e-25  -6.32986826e-54
  4.16000000e-06   0.00000000e+00   0.00000000e+00   8.10259073e-13  -4.54238482e-25  -1.30952851e-24  -2.20470155e-53
  4.24000000e-06   0.00000000e+00   0.00000000e+00   6.22065413e-13  -3.48735434e-25  -1.00537275e-24  -1.29945257e-53
  4.32000000e-06   0.00000000e+00   0.00000000e+00   4.33871754e-13  -2.43232385e-25  -7.01216993e-25  -6.32099610e-54
  4.40000000e-06   0.00000000e+00   0.00000000e+00  -5.65163989e-14   3.16835986e-26   9.13409525e-26  -1.07156797e-55
  4.48000000e-06   0.00000000e+00   0.00000000e+00   5.65267947e-13  -3.16894266e-25  -9.13577541e-25  -1.07299397e-53
  4.56000000e-06   0.00000000e+00   0.00000000e+00   6.33733220e-13  -3.55276510e-25  -1.02423008e-24  -1.34867667e-53
  4.64000000e-06   0.00000000e+00   0.00000000e+00   3.19806231e-13  -1.79286233e-25  -5.16866014e-25  -3.43692974e-54
