     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.152167e+01   2.084832e+01   3.033551e+05   9.562822e+04   1.805327e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.242684e-01   1.152932e+01   2.099274e+01   3.033545e+05   9.563022e+04   1.805327e+06  -7.906763e+05   2.508153e+06   4.377672e-16   1.833133e+06   5.623376e-29   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.485367e-01   1.153697e+01   2.113717e+01   3.033539e+05   9.563222e+04   1.805327e+06  -1.182050e+06   3.749568e+06  -1.240909e-15   1.833133e+06   1.254905e-28   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.728050e-01   1.154462e+01   2.128160e+01   3.033535e+05   9.563332e+04   1.805327e+06  -1.201769e+07   3.812069e+07  -6.135614e-15   1.833133e+06   1.292941e-26   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.970733e-01   1.155227e+01   2.142602e+01   3.033536e+05   9.563314e+04   1.805327e+06  -7.643002e+06   2.424402e+07   1.284071e-14   1.833133e+06   5.228943e-27   0.000000e+00   0.000000e+00
       40000   3.999900e-07   2.213416e-01   1.155992e+01   2.157045e+01   3.033534e+05   9.563354e+04   1.805327e+06  -2.372442e+06   7.525483e+06   1.184151e-15   1.833133e+06   5.038390e-28   0.000000e+00   0.000000e+00
       48000   4.799900e-07   2.456098e-01   1.156757e+01   2.171487e+01   3.033534e+05   9.563356e+04   1.805327e+06  -1.501997e+06   4.764393e+06  -2.138272e-15   1.833133e+06   2.019133e-28   0.000000e+00   0.000000e+00
       56000   5.599900e-07   2.698781e-01   1.157522e+01   2.185930e+01   3.033534e+05   9.563378e+04   1.805327e+06   1.896844e+06  -6.016850e+06  -5.941849e-16   1.833133e+06   3.220361e-28   0.000000e+00   0.000000e+00
       64000   6.399900e-07   2.941464e-01   1.158287e+01   2.200373e+01   3.033533e+05   9.563402e+04   1.805327e+06   1.466965e+06  -4.653247e+06  -7.689495e-16   1.833133e+06   1.925861e-28   0.000000e+00   0.000000e+00
       72000   7.199900e-07   3.184147e-01   1.159052e+01   2.214815e+01   3.033533e+05   9.563390e+04   1.805327e+06   2.537651e+00  -8.049496e+00  -2.734564e-21   1.833133e+06   5.764177e-40   0.000000e+00   0.000000e+00
       80000   7.999900e-07   3.426829e-01   1.159817e+01   2.229258e+01   3.033533e+05   9.563390e+04   1.805327e+06   9.177989e-01  -2.911283e+00   1.135278e-21   1.833133e+06   7.546140e-41   0.000000e+00   0.000000e+00
       88000   8.799900e-07   3.669512e-01   1.160582e+01   2.243700e+01   3.033533e+05   9.563390e+04   1.805327e+06   1.927697e+00  -6.114706e+00   1.758915e-21   1.833133e+06   3.327277e-40   0.000000e+00   0.000000e+00
