     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   9.238826e+00   2.078338e+01  -1.994501e+05  -3.228466e+05   1.793423e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   8.404410e-02   9.212998e+00   2.092685e+01  -1.994475e+05  -3.228482e+05   1.793423e+06   2.397462e+07  -1.481091e+07   3.012611e-15   1.833133e+06   6.427603e-27   0.000000e+00   0.000000e+00
       16000   1.599900e-07   6.808839e-02   9.187170e+00   2.107032e+01  -1.994451e+05  -3.228497e+05   1.793423e+06   3.518518e+07  -2.173616e+07   3.406951e-14   1.833133e+06   1.384451e-26   0.000000e+00   0.000000e+00
       24000   2.399900e-07   5.213290e-02   9.161342e+00   2.121380e+01  -1.994422e+05  -3.228515e+05   1.793423e+06   3.516313e+07  -2.172209e+07  -8.164596e-15   1.833133e+06   1.382701e-26   0.000000e+00   0.000000e+00
       32000   3.199900e-07   3.617765e-02   9.135514e+00   2.135727e+01  -1.994389e+05  -3.228535e+05   1.793423e+06   4.209939e+07  -2.600640e+07   5.340393e-14   1.833133e+06   1.982192e-26   0.000000e+00   0.000000e+00
       40000   3.999900e-07   2.022266e-02   9.109686e+00   2.150075e+01  -1.994356e+05  -3.228556e+05   1.793423e+06   4.853329e+07  -2.998017e+07  -2.110938e-14   1.833133e+06   2.634307e-26   0.000000e+00   0.000000e+00
       48000   4.799900e-07   4.267972e-03   9.083857e+00   2.164422e+01  -1.994317e+05  -3.228580e+05   1.793423e+06   4.384230e+07  -2.708171e+07   1.957729e-14   1.833133e+06   2.149652e-26   0.000000e+00   0.000000e+00
