       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   0.00000000e+00   0.00000000e+00  -2.77598574e-06   4.41030717e-18  -1.92328820e-18   0.00000000e+00
  8.00000000e-08   0.00000000e+00   0.00000000e+00  -2.34354596e-06   3.72328674e-18  -1.62365307e-18  -1.51272133e-40
  1.60000000e-07   0.00000000e+00   0.00000000e+00  -2.69961204e-06   4.28899810e-18  -1.87030869e-18  -2.00729935e-40
  2.40000000e-07   0.00000000e+00   0.00000000e+00  -3.05567642e-06   4.85471169e-18  -2.11695182e-18  -2.57171124e-40
  3.20000000e-07   0.00000000e+00   0.00000000e+00  -2.64046715e-06   4.19506518e-18  -1.82925636e-18  -1.92030975e-40
  4.00000000e-07   0.00000000e+00   0.00000000e+00  -2.99526981e-06   4.75878181e-18  -2.07500794e-18  -2.47103913e-40
  4.80000000e-07   0.00000000e+00   0.00000000e+00  -3.21223691e-06   5.10351512e-18  -2.22526070e-18  -2.84172015e-40
  5.60000000e-07   0.00000000e+00   0.00000000e+00  -2.93513881e-06   4.66329254e-18  -2.03324877e-18  -2.37282261e-40
