     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   9.787591e+00   2.092617e+01  -9.158133e+03  -3.185629e+05   2.608122e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.627521e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   9.926744e-02   9.762106e+00   2.113482e+01  -9.155823e+03  -3.185630e+05   2.608122e+06   3.471396e+07  -9.977143e+05  -2.238400e-15   2.627521e+06   2.006028e-26   0.000000e+00   0.000000e+00
       16000   1.599900e-07   9.853507e-02   9.736621e+00   2.134347e+01  -9.153497e+03  -3.185631e+05   2.608122e+06   3.570296e+07  -1.025878e+06  -1.310710e-15   2.627521e+06   2.121956e-26   0.000000e+00   0.000000e+00
       24000   2.399900e-07   9.780288e-02   9.711136e+00   2.155212e+01  -9.151156e+03  -3.185631e+05   2.608122e+06   3.669195e+07  -1.054026e+06  -2.274528e-15   2.627521e+06   2.241136e-26   0.000000e+00   0.000000e+00
       32000   3.199900e-07   9.707088e-02   9.685651e+00   2.176077e+01  -9.148935e+03  -3.185632e+05   2.608122e+06   2.630306e+07  -7.554074e+05  -5.819362e-16   2.627521e+06   1.151505e-26   0.000000e+00   0.000000e+00
       40000   3.999900e-07   9.633906e-02   9.660166e+00   2.196942e+01  -9.146612e+03  -3.185633e+05   2.608122e+06   2.552783e+07  -7.329570e+05  -1.422424e-15   2.627521e+06   1.084625e-26   0.000000e+00   0.000000e+00
       48000   4.799900e-07   9.560743e-02   9.634681e+00   2.217807e+01  -9.144288e+03  -3.185633e+05   2.608122e+06   2.475254e+07  -7.105162e+05   1.591722e-15   2.627521e+06   1.019741e-26   0.000000e+00   0.000000e+00
       56000   5.599900e-07   9.487599e-02   9.609196e+00   2.238672e+01  -9.141963e+03  -3.185634e+05   2.608122e+06   2.397720e+07  -6.880851e+05  -1.458571e-15   2.627521e+06   9.568543e-27   0.000000e+00   0.000000e+00
       64000   6.399900e-07   9.414474e-02   9.583711e+00   2.259537e+01  -9.139304e+03  -3.185635e+05   2.608122e+06   3.053619e+07  -8.760563e+05  -3.574498e-16   2.627521e+06   1.552249e-26   0.000000e+00   0.000000e+00
       72000   7.199900e-07   9.341369e-02   9.558225e+00   2.280402e+01  -9.136908e+03  -3.185635e+05   2.608122e+06   2.253166e+07  -6.462438e+05   5.026997e-16   2.627521e+06   8.449514e-27   0.000000e+00   0.000000e+00
       80000   7.999900e-07   9.268282e-02   9.532740e+00   2.301267e+01  -9.134524e+03  -3.185636e+05   2.608122e+06   2.175860e+07  -6.239083e+05   1.283903e-16   2.627521e+06   7.879624e-27   0.000000e+00   0.000000e+00
       88000   8.799900e-07   9.195215e-02   9.507255e+00   2.322132e+01  -9.132139e+03  -3.185637e+05   2.608122e+06   2.098549e+07  -6.015828e+05   2.447002e-15   2.627521e+06   7.329590e-27   0.000000e+00   0.000000e+00
       96000   9.599900e-07   9.122166e-02   9.481770e+00   2.342997e+01  -9.129947e+03  -3.185637e+05   2.608122e+06   3.450501e+07  -9.889039e+05  -1.286924e-15   2.627521e+06   1.981942e-26   0.000000e+00   0.000000e+00
      104000   1.039990e-06   9.049136e-02   9.456285e+00   2.363862e+01  -9.127519e+03  -3.185638e+05   2.608122e+06   3.548334e+07  -1.016672e+06  -2.115192e-15   2.627521e+06   2.095920e-26   0.000000e+00   0.000000e+00
      112000   1.119990e-06   8.976126e-02   9.430800e+00   2.384727e+01  -9.125077e+03  -3.185639e+05   2.608122e+06   3.646166e+07  -1.044423e+06  -2.530797e-15   2.627521e+06   2.213081e-26   0.000000e+00   0.000000e+00
      120000   1.199990e-06   8.903135e-02   9.405315e+00   2.405592e+01  -9.122618e+03  -3.185639e+05   2.608122e+06   3.743995e+07  -1.072156e+06  -4.203378e-15   2.627521e+06   2.333426e-26   0.000000e+00   0.000000e+00
      128000   1.279990e-06   8.830165e-02   9.379830e+00   2.426457e+01  -9.120078e+03  -3.185640e+05   2.608122e+06   2.842321e+07  -8.137199e+05  -1.150839e-15   2.627521e+06   1.344624e-26   0.000000e+00   0.000000e+00
      136000   1.359990e-06   8.757214e-02   9.354345e+00   2.447322e+01  -9.117639e+03  -3.185641e+05   2.608122e+06   2.765467e+07  -7.915058e+05  -5.436774e-16   2.627521e+06   1.272889e-26   0.000000e+00   0.000000e+00
      144000   1.439990e-06   8.684283e-02   9.328860e+00   2.468187e+01  -9.115198e+03  -3.185642e+05   2.608122e+06   2.688608e+07  -7.693017e+05  -1.773727e-15   2.627521e+06   1.203115e-26   0.000000e+00   0.000000e+00
      152000   1.519990e-06   8.611372e-02   9.303374e+00   2.489051e+01  -9.112757e+03  -3.185642e+05   2.608122e+06   2.611743e+07  -7.471077e+05  -8.438190e-16   2.627521e+06   1.135303e-26   0.000000e+00   0.000000e+00
      160000   1.599990e-06   8.538481e-02   9.277889e+00   2.509916e+01  -9.110169e+03  -3.185643e+05   2.608122e+06   3.133597e+07  -8.961331e+05   8.514171e-16   2.627521e+06   1.634611e-26   0.000000e+00   0.000000e+00
      168000   1.679990e-06   8.465609e-02   9.252404e+00   2.530781e+01  -9.107668e+03  -3.185644e+05   2.608122e+06   2.467626e+07  -7.054876e+05  -1.117430e-15   2.627521e+06   1.013460e-26   0.000000e+00   0.000000e+00
      176000   1.759990e-06   8.392757e-02   9.226919e+00   2.551646e+01  -9.105169e+03  -3.185644e+05   2.608122e+06   2.390990e+07  -6.833899e+05   1.137710e-15   2.627521e+06   9.514851e-27   0.000000e+00   0.000000e+00
      184000   1.839990e-06   8.319925e-02   9.201434e+00   2.572511e+01  -9.102668e+03  -3.185645e+05   2.608122e+06   2.314349e+07  -6.613025e+05  -4.654746e-17   2.627521e+06   8.914607e-27   0.000000e+00   0.000000e+00
      192000   1.919990e-06   8.247114e-02   9.175949e+00   2.593376e+01  -9.100190e+03  -3.185646e+05   2.608122e+06   3.525784e+07  -1.007184e+06  -3.171099e-15   2.627521e+06   2.069354e-26   0.000000e+00   0.000000e+00
      200000   1.999990e-06   8.174322e-02   9.150463e+00   2.614241e+01  -9.097650e+03  -3.185647e+05   2.608122e+06   3.622551e+07  -1.034537e+06  -1.739298e-15   2.627521e+06   2.184497e-26   0.000000e+00   0.000000e+00
      208000   2.079990e-06   8.101551e-02   9.124978e+00   2.635106e+01  -9.095093e+03  -3.185647e+05   2.608122e+06   3.719316e+07  -1.061873e+06  -1.783244e-15   2.627521e+06   2.302753e-26   0.000000e+00   0.000000e+00
      216000   2.159990e-06   8.028800e-02   9.099493e+00   2.655971e+01  -9.092533e+03  -3.185648e+05   2.608122e+06   3.124485e+07  -8.917960e+05  -2.185697e-15   2.627521e+06   1.624850e-26   0.000000e+00   0.000000e+00
      224000   2.239990e-06   7.956070e-02   9.074008e+00   2.676836e+01  -9.089982e+03  -3.185649e+05   2.608122e+06   3.048307e+07  -8.698088e+05  -3.345826e-15   2.627521e+06   1.546582e-26   0.000000e+00   0.000000e+00
      232000   2.319990e-06   7.883361e-02   9.048523e+00   2.697701e+01  -9.087429e+03  -3.185650e+05   2.608122e+06   2.972123e+07  -8.478321e+05  -2.873065e-16   2.627521e+06   1.470239e-26   0.000000e+00   0.000000e+00
      240000   2.399990e-06   7.810672e-02   9.023038e+00   2.718566e+01  -9.084875e+03  -3.185650e+05   2.608122e+06   2.895934e+07  -8.258659e+05  -2.824142e-16   2.627521e+06   1.395823e-26   0.000000e+00   0.000000e+00
      248000   2.479990e-06   7.738004e-02   8.997552e+00   2.739431e+01  -9.082291e+03  -3.185651e+05   2.608122e+06   3.114802e+07  -8.880301e+05  -3.275197e-15   2.627521e+06   1.615053e-26   0.000000e+00   0.000000e+00
      256000   2.559990e-06   7.665356e-02   8.972067e+00   2.760296e+01  -9.079676e+03  -3.185652e+05   2.608122e+06   2.752020e+07  -7.843750e+05  -1.482405e-16   2.627521e+06   1.260533e-26   0.000000e+00   0.000000e+00
      264000   2.639990e-06   7.592729e-02   8.946582e+00   2.781161e+01  -9.077066e+03  -3.185652e+05   2.608122e+06   2.676061e+07  -7.625056e+05   1.640740e-15   2.627521e+06   1.191904e-26   0.000000e+00   0.000000e+00
      272000   2.719990e-06   7.520123e-02   8.921097e+00   2.802026e+01  -9.074454e+03  -3.185653e+05   2.608122e+06   2.600095e+07  -7.406469e+05   6.806472e-16   2.627521e+06   1.125192e-26   0.000000e+00   0.000000e+00
      280000   2.799990e-06   7.447537e-02   8.895611e+00   2.822891e+01  -9.071724e+03  -3.185654e+05   2.608122e+06   3.502668e+07  -9.974479e+05  -1.478260e-15   2.627521e+06   2.042297e-26   0.000000e+00   0.000000e+00
      288000   2.879990e-06   7.374974e-02   8.870126e+00   2.843756e+01  -9.069088e+03  -3.185655e+05   2.608122e+06   3.598374e+07  -1.024404e+06  -1.939374e-15   2.627521e+06   2.155423e-26   0.000000e+00   0.000000e+00
      296000   2.959990e-06   7.302432e-02   8.844641e+00   2.864621e+01  -9.066436e+03  -3.185655e+05   2.608122e+06   3.694077e+07  -1.051341e+06  -2.037052e-15   2.627521e+06   2.271595e-26   0.000000e+00   0.000000e+00
      304000   3.039990e-06   7.229911e-02   8.819156e+00   2.885486e+01  -9.063770e+03  -3.185656e+05   2.608122e+06   3.789778e+07  -1.078261e+06  -2.405629e-15   2.627521e+06   2.390813e-26   0.000000e+00   0.000000e+00
      312000   3.119990e-06   7.157411e-02   8.793670e+00   2.906351e+01  -9.061250e+03  -3.185657e+05   2.608122e+06   3.323800e+07  -9.454183e+05   5.947869e-16   2.627521e+06   1.838765e-26   0.000000e+00   0.000000e+00
      320000   3.199990e-06   7.084931e-02   8.768185e+00   2.927216e+01  -9.058588e+03  -3.185658e+05   2.608122e+06   3.248293e+07  -9.236695e+05  -5.385363e-17   2.627521e+06   1.756168e-26   0.000000e+00   0.000000e+00
      328000   3.279990e-06   7.012474e-02   8.742700e+00   2.948081e+01  -9.055926e+03  -3.185658e+05   2.608122e+06   3.172780e+07  -9.019315e+05   1.471166e-16   2.627521e+06   1.675461e-26   0.000000e+00   0.000000e+00
      336000   3.359990e-06   6.940038e-02   8.717215e+00   2.968946e+01  -9.053263e+03  -3.185659e+05   2.608122e+06   3.097260e+07  -8.802044e+05  -1.531458e-15   2.627521e+06   1.596647e-26   0.000000e+00   0.000000e+00
      344000   3.439990e-06   6.867598e-02   8.691730e+00   2.989811e+01  -9.057518e+03  -3.185551e+05   2.608123e+06  -3.447728e+07   1.048931e+08   1.269187e+07   2.627521e+06   2.056167e-25   0.000000e+00   0.000000e+00
      352000   3.519990e-06   6.795162e-02   8.666245e+00   3.010676e+01  -9.050008e+03  -3.185638e+05   2.608122e+06   1.759041e+07   1.748533e+07   2.196748e+06   2.627521e+06   1.030860e-26   0.000000e+00   0.000000e+00
      360000   3.599990e-06   6.722768e-02   8.640760e+00   3.031541e+01  -9.048142e+03  -3.185626e+05   2.608122e+06   2.878503e+07  -8.175821e+05   7.962985e-16   2.627521e+06   1.379062e-26   0.000000e+00   0.000000e+00
      368000   3.679990e-06   6.650393e-02   8.615275e+00   3.052406e+01  -9.045423e+03  -3.185626e+05   2.608122e+06   2.803216e+07  -7.959588e+05  -9.480942e-16   2.627521e+06   1.307864e-26   0.000000e+00   0.000000e+00
      376000   3.759990e-06   6.578041e-02   8.589790e+00   3.073271e+01  -9.042638e+03  -3.185627e+05   2.608122e+06   3.573613e+07  -1.014397e+06  -2.402482e-15   2.627521e+06   2.125852e-26   0.000000e+00   0.000000e+00
      384000   3.839990e-06   6.505710e-02   8.564305e+00   3.094136e+01  -9.039895e+03  -3.185628e+05   2.608122e+06   3.668260e+07  -1.040947e+06   1.270880e-15   2.627521e+06   2.239944e-26   0.000000e+00   0.000000e+00
      392000   3.919990e-06   6.433402e-02   8.538820e+00   3.115001e+01  -9.037137e+03  -3.185629e+05   2.608122e+06   3.762904e+07  -1.067478e+06  -8.888252e-16   2.627521e+06   2.357015e-26   0.000000e+00   0.000000e+00
      400000   3.999990e-06   6.361116e-02   8.513335e+00   3.135866e+01  -9.034364e+03  -3.185629e+05   2.608122e+06   3.857546e+07  -1.093990e+06  -1.864085e-15   2.627521e+06   2.477064e-26   0.000000e+00   0.000000e+00
      408000   4.079990e-06   6.288851e-02   8.487850e+00   3.156731e+01  -9.031751e+03  -3.185630e+05   2.608122e+06   3.517204e+07  -9.971815e+05  -5.850554e-16   2.627521e+06   2.058978e-26   0.000000e+00   0.000000e+00
