       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   0.00000000e+00   0.00000000e+00  -1.22967216e-06  -1.07735420e-18   9.18943948e-19   0.00000000e+00
  8.00000000e-08   0.00000000e+00   0.00000000e+00  -2.41206812e-06  -2.11329182e-18   1.80255382e-18  -3.90729895e-41
  1.60000000e-07   0.00000000e+00   0.00000000e+00  -1.49800239e-06  -1.31245403e-18   1.11946069e-18  -1.50620757e-41
  2.40000000e-07   0.00000000e+00   0.00000000e+00  -3.30089572e-06  -2.89205516e-18   2.46674235e-18  -7.31467111e-41
  3.20000000e-07   0.00000000e+00   0.00000000e+00   1.15991545e-06   1.01625169e-18  -8.66798336e-19  -9.02860391e-42
  4.00000000e-07   0.00000000e+00   0.00000000e+00  -3.34657119e-06  -2.93209264e-18   2.50085280e-18  -7.51851620e-41
  4.80000000e-07   0.00000000e+00   0.00000000e+00   2.35452647e-06   2.06291260e-18  -1.75951165e-18  -3.72124290e-41
  5.60000000e-07   0.00000000e+00   0.00000000e+00  -2.91030207e-07  -2.54985562e-19   2.17483475e-19  -5.68442025e-43
  6.40000000e-07   0.00000000e+00   0.00000000e+00  -5.12675215e-08  -4.49179806e-20   3.83115742e-20  -1.76943113e-44
  7.20000000e-07   0.00000000e+00   0.00000000e+00  -3.66627890e-07  -3.21220684e-19   2.73976324e-19  -9.02190508e-43
  8.00000000e-07   0.00000000e+00   0.00000000e+00   1.51836596e-07   1.33031609e-19  -1.13465405e-19  -1.54650700e-43
  8.80000000e-07   0.00000000e+00   0.00000000e+00  -4.42225721e-07  -3.87455851e-19   3.30469383e-19  -1.31268264e-42
  9.60000000e-07   0.00000000e+00   0.00000000e+00   3.54940694e-07   3.10981524e-19  -2.65241969e-19  -8.45540902e-43
  1.04000000e-06   0.00000000e+00   0.00000000e+00   1.06685682e-08   9.34726298e-21  -7.97247623e-21  -7.54390817e-46
  1.12000000e-06   0.00000000e+00   0.00000000e+00   7.13904622e-13   6.25486853e-25  -5.33491794e-25  -3.42240156e-54
  1.20000000e-06   0.00000000e+00   0.00000000e+00   3.18839250e-13   2.79350705e-25  -2.38264494e-25  -6.82760794e-55
  1.28000000e-06   0.00000000e+00   0.00000000e+00   3.34900836e-13   2.93423048e-25  -2.50267112e-25  -7.53020280e-55
  1.36000000e-06   0.00000000e+00   0.00000000e+00   5.38196718e-15   4.71540541e-27  -4.02187525e-27  -1.98064268e-58
  1.44000000e-06   0.00000000e+00   0.00000000e+00  -4.12911854e-14  -3.61772328e-26   3.08563748e-26  -1.14508387e-56
  1.52000000e-06   0.00000000e+00   0.00000000e+00  -3.89011476e-13  -3.40832034e-25   2.90703301e-25  -1.01578009e-54
  1.60000000e-06   0.00000000e+00   0.00000000e+00   6.79816602e-13   5.95620668e-25  -5.08018253e-25  -3.10241660e-54
  1.68000000e-06   0.00000000e+00   0.00000000e+00   2.37701987e-13   2.08262369e-25  -1.77631655e-25  -3.78987939e-55
  1.76000000e-06   0.00000000e+00   0.00000000e+00  -1.15390955e-13  -1.01099675e-25   8.62301852e-26  -8.92355811e-56
  1.84000000e-06   0.00000000e+00   0.00000000e+00   5.05654254e-13   4.43028493e-25  -3.77868958e-25  -1.71591343e-54
  1.92000000e-06   0.00000000e+00   0.00000000e+00  -1.88937873e-13  -1.65537737e-25   1.41190856e-25  -2.39410114e-55
  2.00000000e-06   0.00000000e+00   0.00000000e+00   3.88208489e-13   3.40128497e-25  -2.90103239e-25  -1.01197886e-54
  2.08000000e-06   0.00000000e+00   0.00000000e+00   1.72614389e-13   1.51235932e-25  -1.28992525e-25  -1.99987114e-55
  2.16000000e-06   0.00000000e+00   0.00000000e+00   3.99103277e-13   3.49673956e-25  -2.98244775e-25  -1.06929976e-54
  2.24000000e-06   0.00000000e+00   0.00000000e+00  -1.17815229e-13  -1.03223700e-25   8.80418137e-26  -9.30883753e-56
  2.32000000e-06   0.00000000e+00   0.00000000e+00   6.38469941e-13   5.59394830e-25  -4.77120422e-25  -2.73658626e-54
  2.40000000e-06   0.00000000e+00   0.00000000e+00  -4.77234460e-13  -4.18128517e-25   3.56631209e-25  -1.52873143e-54
  2.48000000e-06   0.00000000e+00   0.00000000e+00  -4.40682471e-14  -3.86103527e-26   3.29316375e-26  -1.29982753e-56
  2.56000000e-06   0.00000000e+00   0.00000000e+00   6.07341180e-13   5.32121395e-25  -4.53858297e-25  -2.47600543e-54
  2.64000000e-06   0.00000000e+00   0.00000000e+00  -1.66878080e-13  -1.46210071e-25   1.24705855e-25  -1.86823337e-55
  2.72000000e-06   0.00000000e+00   0.00000000e+00   7.97478129e-13   6.98709702e-25  -5.95945207e-25  -4.26922045e-54
  2.80000000e-06   0.00000000e+00   0.00000000e+00   1.36669909e-13   1.19743211e-25  -1.02131676e-25  -1.25322319e-55
  2.88000000e-06   0.00000000e+00   0.00000000e+00   5.13243020e-14   4.49677383e-26  -3.83539946e-26  -1.77276814e-56
