       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   0.00000000e+00   0.00000000e+00  -1.71686409e-06   2.19550519e-18  -1.98770837e-18   0.00000000e+00
  8.00000000e-08   0.00000000e+00   0.00000000e+00  -1.97316853e-06   2.52328065e-18  -2.28442806e-18  -9.14780186e-41
  1.60000000e-07   0.00000000e+00   0.00000000e+00  -2.73809161e-06   3.50148903e-18  -3.16998427e-18  -1.76175396e-40
  2.40000000e-07   0.00000000e+00   0.00000000e+00  -3.01040576e-06   3.84976001e-18  -3.48521443e-18  -2.12939275e-40
  3.20000000e-07   0.00000000e+00   0.00000000e+00  -3.13809443e-06   4.01309055e-18  -3.63299828e-18  -2.31387046e-40
