     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.199967e+01   2.094277e+01   8.962968e+04   2.378065e+05   2.365226e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.071703e-01   1.201870e+01   2.113199e+01   8.962794e+04   2.378071e+05   2.365226e+06  -2.254454e+07   8.496890e+06  -3.270435e-15   2.378840e+06   7.909526e-27   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.143405e-01   1.203772e+01   2.132121e+01   8.962633e+04   2.378077e+05   2.365226e+06  -2.341602e+07   8.825161e+06  -2.145132e-15   2.378840e+06   8.532929e-27   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.215105e-01   1.205675e+01   2.151043e+01   8.962486e+04   2.378083e+05   2.365226e+06  -2.428751e+07   9.153444e+06   2.609619e-15   2.378840e+06   9.179993e-27   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.286804e-01   1.207577e+01   2.169964e+01   8.962354e+04   2.378088e+05   2.365226e+06   9.220130e+06  -3.474812e+06  -6.634408e-16   2.378840e+06   1.322022e-27   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.358502e-01   1.209480e+01   2.188886e+01   8.962219e+04   2.378093e+05   2.365226e+06   1.304152e+07  -4.914902e+06   7.124345e-15   2.378840e+06   2.645813e-27   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.430199e-01   1.211382e+01   2.207808e+01   8.962091e+04   2.378098e+05   2.365226e+06  -2.688419e+07   1.013157e+07  -7.057181e-15   2.378840e+06   1.124814e-26   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.501896e-01   1.213285e+01   2.226730e+01   8.961986e+04   2.378102e+05   2.365226e+06  -2.775851e+07   1.046092e+07   1.424120e-15   2.378840e+06   1.199174e-26   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.573591e-01   1.215187e+01   2.245652e+01   8.961895e+04   2.378105e+05   2.365226e+06  -2.863283e+07   1.079029e+07  -1.730772e-14   2.378840e+06   1.275915e-26   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.645286e-01   1.217090e+01   2.264573e+01   8.961819e+04   2.378108e+05   2.365226e+06  -2.950716e+07   1.111967e+07   9.243981e-15   2.378840e+06   1.355038e-26   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.716980e-01   1.218992e+01   2.283495e+01   8.961759e+04   2.378110e+05   2.365226e+06  -3.038150e+07   1.144908e+07   1.889629e-14   2.378840e+06   1.436541e-26   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.788673e-01   1.220895e+01   2.302417e+01   8.961619e+04   2.378116e+05   2.365226e+06  -7.402013e+05   2.789352e+05   7.045142e-16   2.378840e+06   8.647856e-30   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.860366e-01   1.222797e+01   2.321339e+01   8.961562e+04   2.378118e+05   2.365226e+06   3.106095e+06  -1.170483e+06   2.663218e-15   2.378840e+06   1.497033e-28   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.932059e-01   1.224700e+01   2.340261e+01   8.961513e+04   2.378120e+05   2.365226e+06   6.952390e+06  -2.619882e+06  -4.397490e-15   2.378840e+06   7.513822e-28   0.000000e+00   0.000000e+00
      112000   1.119990e-06   2.003751e-01   1.226602e+01   2.359182e+01   8.961504e+04   2.378120e+05   2.365226e+06   2.690875e+06  -1.014006e+06  -1.345611e-15   2.378840e+06   1.126202e-28   0.000000e+00   0.000000e+00
      120000   1.199990e-06   2.075443e-01   1.228505e+01   2.378104e+01   8.961485e+04   2.378121e+05   2.365226e+06   3.403544e+06  -1.282560e+06  -7.396086e-16   2.378840e+06   1.802088e-28   0.000000e+00   0.000000e+00
      128000   1.279990e-06   2.147135e-01   1.230407e+01   2.397026e+01   8.961458e+04   2.378122e+05   2.365226e+06  -3.447596e+06   1.299155e+06   1.950591e-16   2.378840e+06   1.849094e-28   0.000000e+00   0.000000e+00
      136000   1.359990e-06   2.218826e-01   1.232310e+01   2.415948e+01   8.961443e+04   2.378122e+05   2.365226e+06  -3.832826e+06   1.444318e+06   2.838290e-15   2.378840e+06   2.285572e-28   0.000000e+00   0.000000e+00
      144000   1.439990e-06   2.290518e-01   1.234212e+01   2.434870e+01   8.961430e+04   2.378123e+05   2.365226e+06  -4.218057e+06   1.589481e+06  -3.718064e-15   2.378840e+06   2.768256e-28   0.000000e+00   0.000000e+00
      152000   1.519990e-06   2.362209e-01   1.236115e+01   2.453791e+01   8.961419e+04   2.378123e+05   2.365226e+06  -4.603287e+06   1.734645e+06  -3.889974e-16   2.378840e+06   3.297147e-28   0.000000e+00   0.000000e+00
      160000   1.599990e-06   2.433901e-01   1.238017e+01   2.472713e+01   8.961410e+04   2.378124e+05   2.365226e+06  -4.988518e+06   1.879808e+06   2.626953e-15   2.378840e+06   3.872243e-28   0.000000e+00   0.000000e+00
      168000   1.679990e-06   2.505592e-01   1.239920e+01   2.491635e+01   8.961403e+04   2.378124e+05   2.365226e+06  -5.373749e+06   2.024972e+06   1.860044e-15   2.378840e+06   4.493547e-28   0.000000e+00   0.000000e+00
      176000   1.759990e-06   2.577283e-01   1.241822e+01   2.510557e+01   8.961392e+04   2.378124e+05   2.365226e+06  -8.613949e+05   3.245960e+05  -7.362820e-16   2.378840e+06   1.158502e-29   0.000000e+00   0.000000e+00
      184000   1.839990e-06   2.648974e-01   1.243725e+01   2.529479e+01   8.961383e+04   2.378125e+05   2.365226e+06  -6.148958e+06   2.317085e+06  -1.541408e-16   2.378840e+06   5.883847e-28   0.000000e+00   0.000000e+00
      192000   1.919990e-06   2.720665e-01   1.245627e+01   2.548400e+01   8.961378e+04   2.378125e+05   2.365226e+06  -6.535409e+06   2.462708e+06   2.788567e-15   2.378840e+06   6.646821e-28   0.000000e+00   0.000000e+00
      200000   1.999990e-06   2.792356e-01   1.247530e+01   2.567322e+01   8.961375e+04   2.378125e+05   2.365226e+06  -6.921861e+06   2.608332e+06  -2.151434e-15   2.378840e+06   7.456295e-28   0.000000e+00   0.000000e+00
      208000   2.079990e-06   2.864047e-01   1.249432e+01   2.586244e+01   8.961374e+04   2.378125e+05   2.365226e+06  -7.308312e+06   2.753956e+06   1.510829e-15   2.378840e+06   8.312269e-28   0.000000e+00   0.000000e+00
      216000   2.159990e-06   2.935738e-01   1.251335e+01   2.605166e+01   8.961357e+04   2.378126e+05   2.365226e+06   2.733636e+06  -1.030101e+06   4.129257e-16   2.378840e+06   1.162281e-28   0.000000e+00   0.000000e+00
      224000   2.239990e-06   3.007429e-01   1.253237e+01   2.624088e+01   8.961353e+04   2.378126e+05   2.365226e+06   1.198577e+00  -4.516529e-01  -5.578936e-22   2.378840e+06   2.238160e-41   0.000000e+00   0.000000e+00
      232000   2.319990e-06   3.079120e-01   1.255140e+01   2.643009e+01   8.961353e+04   2.378126e+05   2.365226e+06   7.503486e-01  -2.827495e-01  -3.992590e-23   2.378840e+06   8.775711e-42   0.000000e+00   0.000000e+00
      240000   2.399990e-06   3.150811e-01   1.257042e+01   2.661931e+01   8.961353e+04   2.378126e+05   2.365226e+06   3.021200e-01  -1.138461e-01   4.850537e-23   2.378840e+06   1.425268e-42   0.000000e+00   0.000000e+00
      248000   2.479990e-06   3.222502e-01   1.258945e+01   2.680853e+01   8.961353e+04   2.378126e+05   2.365226e+06  -1.461086e-01   5.505726e-02  -7.739499e-23   2.378840e+06   3.302700e-43   0.000000e+00   0.000000e+00
      256000   2.559990e-06   3.294192e-01   1.260847e+01   2.699775e+01   8.961353e+04   2.378126e+05   2.365226e+06  -1.399611e+00   5.274074e-01  -5.979531e-22   2.378840e+06   3.044791e-41   0.000000e+00   0.000000e+00
      264000   2.639990e-06   3.365883e-01   1.262750e+01   2.718697e+01   8.961353e+04   2.378126e+05   2.365226e+06  -2.526117e+00   9.519019e-01  -2.711763e-22   2.378840e+06   9.925574e-41   0.000000e+00   0.000000e+00
      272000   2.719990e-06   3.437574e-01   1.264652e+01   2.737619e+01   8.961353e+04   2.378126e+05   2.365226e+06  -3.652622e+00   1.376396e+00  -2.239953e-21   2.378840e+06   2.075753e-40   0.000000e+00   0.000000e+00
      280000   2.799990e-06   3.509265e-01   1.266555e+01   2.756540e+01   8.961353e+04   2.378126e+05   2.365226e+06  -4.779128e+00   1.800891e+00   2.682358e-21   2.378840e+06   3.554065e-40   0.000000e+00   0.000000e+00
      288000   2.879990e-06   3.580956e-01   1.268457e+01   2.775462e+01   8.961353e+04   2.378126e+05   2.365226e+06  -5.905633e+00   2.225385e+00  -2.730987e-21   2.378840e+06   5.427494e-40   0.000000e+00   0.000000e+00
      296000   2.959990e-06   3.652646e-01   1.270360e+01   2.794384e+01   8.961353e+04   2.378126e+05   2.365226e+06   3.878904e+00  -1.461665e+00  -8.211017e-22   2.378840e+06   2.340884e-40   0.000000e+00   0.000000e+00
      304000   3.039990e-06   3.724337e-01   1.272262e+01   2.813306e+01   8.961353e+04   2.378126e+05   2.365226e+06   4.511362e+00  -1.699990e+00  -1.250781e-21   2.378840e+06   3.166757e-40   0.000000e+00   0.000000e+00
      312000   3.119990e-06   3.796028e-01   1.274165e+01   2.832228e+01   8.961353e+04   2.378126e+05   2.365226e+06   5.143820e+00  -1.938316e+00   2.907006e-21   2.378840e+06   4.117174e-40   0.000000e+00   0.000000e+00
      320000   3.199990e-06   3.867719e-01   1.276067e+01   2.851149e+01   8.961353e+04   2.378126e+05   2.365226e+06   5.776278e+00  -2.176641e+00   2.465171e-21   2.378840e+06   5.192135e-40   0.000000e+00   0.000000e+00
      328000   3.279990e-06   3.939410e-01   1.277970e+01   2.870071e+01   8.961353e+04   2.378126e+05   2.365226e+06   6.408736e+00  -2.414967e+00   4.317083e-21   2.378840e+06   6.391639e-40   0.000000e+00   0.000000e+00
      336000   3.359990e-06   4.011101e-01   1.279872e+01   2.888993e+01   8.961353e+04   2.378126e+05   2.365226e+06   8.315627e-01  -3.133529e-01   4.186437e-22   2.378840e+06   1.077501e-41   0.000000e+00   0.000000e+00
      344000   3.439990e-06   4.082791e-01   1.281775e+01   2.907915e+01   8.961353e+04   2.378126e+05   2.365226e+06   5.609101e+00  -2.113645e+00   1.293485e-21   2.378840e+06   4.896418e-40   0.000000e+00   0.000000e+00
      352000   3.519990e-06   4.154482e-01   1.283677e+01   2.926837e+01   8.961353e+04   2.378126e+05   2.365226e+06   6.794321e+00  -2.560264e+00  -1.177706e-21   2.378840e+06   7.184690e-40   0.000000e+00   0.000000e+00
      360000   3.599990e-06   4.226173e-01   1.285580e+01   2.945758e+01   8.961353e+04   2.378126e+05   2.365226e+06   7.979541e+00  -3.006884e+00   3.230592e-21   2.378840e+06   9.910340e-40   0.000000e+00   0.000000e+00
      368000   3.679990e-06   4.297864e-01   1.287482e+01   2.964680e+01   8.961353e+04   2.378126e+05   2.365226e+06   5.654470e+00   1.912916e+00  -4.065711e-01   2.378840e+06   4.880088e-40   0.000000e+00   0.000000e+00
      376000   3.759990e-06   4.369555e-01   1.289385e+01   2.983602e+01   8.961353e+04   2.378126e+05   2.365226e+06  -1.121300e+01   3.238908e+01  -2.831736e+00   2.378840e+06   1.613296e-38   0.000000e+00   0.000000e+00
      384000   3.839990e-06   4.441245e-01   1.291287e+01   3.002524e+01   8.961353e+04   2.378126e+05   2.365226e+06   2.342201e+01  -4.322619e+01   3.458783e+00   2.378840e+06   3.314032e-38   0.000000e+00   0.000000e+00
      392000   3.919990e-06   4.512936e-01   1.293190e+01   3.021446e+01   8.961353e+04   2.378126e+05   2.365226e+06   2.427551e+00  -9.147600e-01   1.295114e-21   2.378840e+06   9.176699e-41   0.000000e+00   0.000000e+00
      400000   3.999990e-06   4.584627e-01   1.295092e+01   3.040367e+01   8.961353e+04   2.378126e+05   2.365226e+06   4.348801e-01  -1.638733e-01   2.629169e-22   2.378840e+06   2.948771e-42   0.000000e+00   0.000000e+00
      408000   4.079990e-06   4.656318e-01   1.296995e+01   3.059289e+01   8.961353e+04   2.378126e+05   2.365226e+06  -5.596110e+00   2.108750e+00  -2.119703e-21   2.378840e+06   4.874900e-40   0.000000e+00   0.000000e+00
      416000   4.159990e-06   4.728009e-01   1.298897e+01   3.078211e+01   8.961353e+04   2.378126e+05   2.365226e+06  -8.147318e+00   3.070106e+00  -3.925179e-21   2.378840e+06   1.033318e-39   0.000000e+00   0.000000e+00
