     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.012662e+01   2.079335e+01  -3.343873e+05  -1.601027e+05   1.795251e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   7.324906e-02   1.011381e+01   2.093697e+01  -3.343861e+05  -1.601051e+05   1.795251e+06   2.056069e+07  -4.294183e+07   4.983063e-15   1.833133e+06   1.834902e-26   0.000000e+00   0.000000e+00
       16000   1.599900e-07   4.649823e-02   1.010100e+01   2.108059e+01  -3.343847e+05  -1.601082e+05   1.795251e+06   1.903380e+07  -3.975193e+07  -4.747028e-14   1.833133e+06   1.572233e-26   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.974752e-02   1.008819e+01   2.122421e+01  -3.343829e+05  -1.601119e+05   1.795251e+06   2.204931e+07  -4.604850e+07  -7.091376e-15   1.833133e+06   2.110039e-26   0.000000e+00   0.000000e+00
