     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   9.325362e+00   2.074151e+01  -2.779284e+05  -3.069833e+05   1.785747e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.833133e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   7.776582e-02   9.300803e+00   2.088436e+01  -2.779262e+05  -3.069853e+05   1.785747e+06   2.700919e+07  -2.445251e+07   1.811441e-14   1.833133e+06   1.074381e-26   0.000000e+00   0.000000e+00
       16000   1.599900e-07   5.553183e-02   9.276244e+00   2.102722e+01  -2.779235e+05  -3.069877e+05   1.785747e+06   3.748255e+07  -3.393388e+07   4.996149e-15   1.833133e+06   2.069416e-26   0.000000e+00   0.000000e+00
       24000   2.399900e-07   3.329807e-02   9.251685e+00   2.117008e+01  -2.779205e+05  -3.069904e+05   1.785747e+06   4.120864e+07  -3.730647e+07   1.524412e-14   1.833133e+06   2.501006e-26   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.106456e-02   9.227126e+00   2.131294e+01  -2.779171e+05  -3.069935e+05   1.785747e+06   4.295703e+07  -3.888843e+07   1.249781e-14   1.833133e+06   2.717687e-26   0.000000e+00   0.000000e+00
