       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.37398905e-06   6.97281030e-07  -2.39739512e-14  -5.30555535e-18   1.04545724e-17   1.35473388e-18
  8.00000000e-08   1.23772249e-06   6.27471703e-07  -7.57947427e-14  -4.77438588e-18   9.41773925e-18   1.21749492e-18
  1.60000000e-07  -8.48331423e-07  -4.34899459e-07  -1.33010284e-07   3.15156300e-18  -5.88604510e-18  -8.55062391e-19
  2.40000000e-07  -3.12019771e-13  -1.58740764e-13   8.74775442e-13   2.24405091e-24  -6.11535306e-24  -3.09299456e-25
  3.20000000e-07   0.00000000e+00   0.00000000e+00   1.56452945e-13   1.85324204e-25  -6.69113740e-25  -3.90021909e-54
  4.00000000e-07   0.00000000e+00   0.00000000e+00   3.25934378e-13   3.86081126e-25  -1.39394737e-24  -1.69014073e-53
  4.80000000e-07   0.00000000e+00   0.00000000e+00   2.50155626e-13   2.96318439e-25  -1.06985884e-24  -9.95634381e-54
  5.60000000e-07   0.00000000e+00   0.00000000e+00   8.56427280e-14   1.01446927e-25  -3.66274512e-25  -1.16959691e-54
  6.40000000e-07   0.00000000e+00   0.00000000e+00   9.62766302e-14   1.14043171e-25  -4.11753299e-25  -1.47427464e-54
  7.20000000e-07   0.00000000e+00   0.00000000e+00   5.21006515e-13   6.17151168e-25  -2.22822663e-24  -4.31649084e-53
  8.00000000e-07   0.00000000e+00   0.00000000e+00   8.81563815e-13   1.04424441e-24  -3.77024837e-24  -1.23606780e-52
  8.80000000e-07   0.00000000e+00   0.00000000e+00   1.22289190e-13   1.44855994e-25  -5.23003113e-25  -2.38310856e-54
  9.60000000e-07   0.00000000e+00   0.00000000e+00   1.07183490e-12   1.26962743e-24  -4.58399462e-24  -1.82681470e-52
  1.04000000e-06   0.00000000e+00   0.00000000e+00   8.65578958e-13   1.02530976e-24  -3.70188477e-24  -1.19170544e-52
  1.12000000e-06   0.00000000e+00   0.00000000e+00   8.23215370e-13   9.75128550e-25  -3.52070532e-24  -1.07782010e-52
  1.20000000e-06   0.00000000e+00   0.00000000e+00   7.35767414e-13   8.71543266e-25  -3.14671026e-24  -8.60754623e-53
  1.28000000e-06   0.00000000e+00   0.00000000e+00   4.93774228e-13   5.84893534e-25  -2.11176032e-24  -3.87929240e-53
  1.36000000e-06   0.00000000e+00   0.00000000e+00   1.53998145e-13   1.82416404e-25  -6.58615116e-25  -3.77504536e-54
  1.44000000e-06   0.00000000e+00   0.00000000e+00   9.27565704e-13   1.09873532e-24  -3.96698801e-24  -1.36838701e-52
  1.52000000e-06   0.00000000e+00   0.00000000e+00  -6.86648090e-14  -8.13359639e-26   2.93663805e-25  -7.46120068e-55
  1.60000000e-06   0.00000000e+00   0.00000000e+00  -1.96051443e-13  -2.32230066e-25   8.38467531e-25  -6.11510532e-54
  1.68000000e-06   0.00000000e+00   0.00000000e+00   6.88858603e-13   8.15978072e-25  -2.94609191e-24  -7.54798809e-53
  1.76000000e-06   0.00000000e+00   0.00000000e+00   7.57327210e-13   8.97081628e-25  -3.23891661e-24  -9.13030953e-53
  1.84000000e-06   0.00000000e+00   0.00000000e+00   2.29309511e-13   2.71625457e-25  -9.80704739e-25  -8.36492408e-54
  1.92000000e-06   0.00000000e+00   0.00000000e+00   4.57062922e-13   5.41407657e-25  -1.95475439e-24  -3.32220720e-53
  2.00000000e-06   0.00000000e+00   0.00000000e+00   1.03457136e-12   1.22548741e-24  -4.42462693e-24  -1.70222104e-52
