       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   0.00000000e+00   0.00000000e+00  -2.82051337e-07   4.70785653e-19   2.04585735e-20   0.00000000e+00
  8.00000000e-08   0.00000000e+00   0.00000000e+00  -6.27686532e-07   1.04770190e-18   4.55367049e-20  -1.26432212e-41
  1.60000000e-07   0.00000000e+00   0.00000000e+00  -9.73315294e-07   1.62460705e-18   7.06226630e-20  -3.03882458e-41
  2.40000000e-07   0.00000000e+00   0.00000000e+00  -1.31849451e-06   2.20076141e-18   9.56859609e-20  -5.57534583e-41
  3.20000000e-07   0.00000000e+00   0.00000000e+00  -1.66286529e-06   2.77556615e-18   1.20695434e-19  -8.86709303e-41
  4.00000000e-07   0.00000000e+00   0.00000000e+00  -2.00722996e-06   3.35036038e-18   1.45711869e-19  -1.29190280e-40
  4.80000000e-07   0.00000000e+00   0.00000000e+00  -2.89253766e-06   4.82806760e-18   2.09998476e-19  -2.68125375e-40
  5.60000000e-07   0.00000000e+00   0.00000000e+00  -2.49525801e-06   4.16494864e-18   1.81184021e-19  -1.99523629e-40
  6.40000000e-07   0.00000000e+00   0.00000000e+00  -2.09797685e-06   3.50182760e-18   1.52359784e-19  -1.41039941e-40
  7.20000000e-07   0.00000000e+00   0.00000000e+00  -2.30070553e-07   3.84020994e-19   1.67110347e-20  -1.70186134e-42
  8.00000000e-07   0.00000000e+00   0.00000000e+00  -5.71919480e-07   9.54615994e-19   4.15468231e-20  -1.04974494e-41
  8.80000000e-07   0.00000000e+00   0.00000000e+00  -9.13762843e-07   1.52520140e-18   6.63891637e-20  -2.67844333e-41
  9.60000000e-07   0.00000000e+00   0.00000000e+00  -3.65241284e-06   6.09639945e-18   2.65412415e-19  -4.27525169e-40
  1.04000000e-06   0.00000000e+00   0.00000000e+00  -3.25797505e-06   5.43802495e-18   2.36781706e-19  -3.40163440e-40
