       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   0.00000000e+00   0.00000000e+00  -3.74515947e-06   1.50376196e-18  -3.27146339e-18   0.00000000e+00
  8.00000000e-08   0.00000000e+00   0.00000000e+00  -1.85908305e-06   7.46475653e-19  -1.62393572e-18  -2.12932860e-41
  1.60000000e-07   0.00000000e+00   0.00000000e+00  -2.85110089e-06   1.14482022e-18  -2.49046804e-18  -5.00874759e-41
  2.40000000e-07   0.00000000e+00   0.00000000e+00  -2.66400927e-06   1.06971824e-18  -2.32703130e-18  -4.37250967e-41
  3.20000000e-07   0.00000000e+00   0.00000000e+00  -3.03413500e-06   1.21836853e-18  -2.65032576e-18  -5.67248114e-41
  4.00000000e-07   0.00000000e+00   0.00000000e+00  -3.46892626e-06   1.39299441e-18  -3.03010166e-18  -7.41407653e-41
