     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   3.711523e+00   6.816902e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.661334e-01   3.622596e+00   6.765864e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   2.322669e-01   3.533669e+00   6.714826e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   2.984003e-01   3.444742e+00   6.663788e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   3.645337e-01   3.355815e+00   6.612749e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   4.306671e-01   3.266888e+00   6.561711e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   4.968006e-01   3.177961e+00   6.510673e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   5.629340e-01   3.089034e+00   6.459635e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   6.290674e-01   3.000107e+00   6.408597e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   6.952008e-01   2.911180e+00   6.357559e+00   8.266678e+05  -1.111587e+06  -6.379766e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
