     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.136445e+01   1.020733e+00  -1.393851e+05   9.575940e+04  -2.622073e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.627521e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   8.884919e-02   1.137211e+01   8.109672e-01  -1.393851e+05   9.575940e+04  -2.622073e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.627521e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   7.769839e-02   1.137977e+01   6.012013e-01  -1.393851e+05   9.575940e+04  -2.622073e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.627521e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   6.654758e-02   1.138743e+01   3.914355e-01  -1.393851e+05   9.575940e+04  -2.622073e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.627521e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   5.539678e-02   1.139509e+01   1.816697e-01  -1.393851e+05   9.575940e+04  -2.622073e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.627521e+06   0.000000e+00   0.000000e+00   0.000000e+00
