     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   9.641240e+00   1.542698e+00   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.360152e-01   9.624662e+00   1.427309e+00   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.720304e-01   9.608083e+00   1.311920e+00   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   2.080456e-01   9.591505e+00   1.196531e+00   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   2.440608e-01   9.574927e+00   1.081142e+00   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   2.800759e-01   9.558349e+00   9.657536e-01   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   3.160911e-01   9.541770e+00   8.503647e-01   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   3.521063e-01   9.525192e+00   7.349758e-01   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   3.881215e-01   9.508614e+00   6.195869e-01   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   4.241367e-01   9.492036e+00   5.041980e-01   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       80000   7.999900e-07   4.601519e-01   9.475457e+00   3.888091e-01   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       88000   8.799900e-07   4.961671e-01   9.458879e+00   2.734203e-01   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
       96000   9.599900e-07   5.321823e-01   9.442301e+00   1.580314e-01   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
      104000   1.039990e-06   5.681975e-01   9.425722e+00   4.264249e-02   4.501899e+05  -2.072285e+05  -1.442361e+06   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
